order_id,order_date,customer_id,store_id,channel,delivery_partner_id,promised_days,actual_days,delivery_status,delivery_rating
O000047,2026-04-18,CU02918,S006,Website,DP02,3,3,On Time,5.0
O000048,2026-04-29,CU01233,S009,Mobile App,DP05,3,3,On Time,5.0
O000049,2026-05-31,CU03788,S003,Website,DP02,3,3,On Time,5.0
O000050,2026-03-15,CU00352,S009,Corporate,DP02,1,1,On Time,5.0
O000051,2026-02-26,CU01762,S003,Physical Store,DP01,1,1,On Time,5.0
O000052,2026-04-20,CU02896,S003,Mobile App,DP03,3,3,On Time,5.0
O000053,2026-03-20,CU03767,S008,Website,DP02,3,6,Delayed,2.6
O000054,2026-05-31,CU04571,S006,Mobile App,DP04,3,6,Delayed,3.3
O000055,2026-02-05,CU02525,S001,Website,DP01,3,3,On Time,4.5
O000056,2026-02-26,CU01150,S002,Website,DP02,3,3,On Time,5.0
O000057,2026-05-09,CU04539,S008,Mobile App,DP03,3,3,On Time,4.9
O000058,2026-01-03,CU04351,S007,Physical Store,DP04,1,1,On Time,5.0
O000059,2026-01-14,CU00070,S008,Physical Store,DP02,1,1,On Time,5.0
O000060,2026-02-03,CU00578,S008,Physical Store,DP02,1,1,On Time,5.0
O000061,2026-03-11,CU04591,S006,Physical Store,DP03,1,1,On Time,5.0
O000062,2026-03-10,CU04085,S007,Website,DP01,3,3,On Time,4.0
O000063,2026-06-28,CU04877,S006,Corporate,DP01,1,1,On Time,4.5
O000064,2026-04-14,CU02451,S001,Corporate,DP01,1,1,On Time,5.0
O000065,2026-01-29,CU04947,S005,Mobile App,DP03,3,3,On Time,4.4
O000066,2026-02-17,CU00129,S001,Website,DP02,3,3,On Time,4.1
O000067,2026-04-04,CU01507,S002,Website,DP02,3,3,On Time,4.9
O000068,2026-03-20,CU04089,S005,Website,DP02,3,3,On Time,5.0
O000069,2026-04-27,CU01649,S002,Website,DP01,3,3,On Time,5.0
O000070,2026-05-24,CU03168,S004,Website,DP04,3,5,Delayed,4.0
O000071,2026-05-18,CU02549,S003,Mobile App,DP01,3,3,On Time,5.0
O000072,2026-05-27,CU01480,S009,Mobile App,DP03,3,3,On Time,5.0
O000073,2026-03-08,CU01803,S005,Website,DP04,3,3,On Time,4.9
O000074,2026-06-13,CU00008,S002,Website,DP01,3,3,On Time,5.0
O000075,2026-05-12,CU00220,S006,Physical Store,DP01,1,1,On Time,4.2
O000076,2026-03-16,CU00725,S006,Website,DP03,3,3,On Time,5.0
O000077,2026-06-10,CU04198,S005,Website,DP03,3,3,On Time,4.8
O000078,2026-01-28,CU02050,S003,Website,DP05,3,3,On Time,5.0
O000079,2026-05-01,CU03786,S008,Mobile App,DP03,3,3,On Time,4.1
O000080,2026-01-09,CU03913,S005,Physical Store,DP02,1,1,On Time,5.0
O000081,2026-05-14,CU02743,S009,Physical Store,DP01,1,1,On Time,5.0
O000082,2026-05-03,CU00771,S004,Corporate,DP03,1,1,On Time,5.0
O000083,2026-02-18,CU04930,S004,Physical Store,DP03,1,1,On Time,4.8
O000084,2026-04-01,CU00740,S002,Physical Store,DP02,1,1,On Time,5.0
O000085,2026-05-05,CU04296,S003,Mobile App,DP02,3,3,On Time,5.0
O000086,2026-03-17,CU04122,S007,Website,DP02,3,5,Delayed,3.2
O000087,2026-05-30,CU02018,S006,Physical Store,DP02,1,1,On Time,4.4
O000088,2026-04-14,CU04198,S007,Website,DP01,3,3,On Time,4.9
O000089,2026-06-25,CU00197,S007,Physical Store,DP01,1,1,On Time,5.0
O000090,2026-05-29,CU00510,S009,Physical Store,DP01,1,1,On Time,4.2
O000091,2026-02-02,CU01996,S003,Physical Store,DP01,1,1,On Time,5.0
O000092,2026-06-06,CU01015,S006,Website,DP03,3,3,On Time,4.6
O000093,2026-02-22,CU03102,S002,Corporate,DP01,1,1,On Time,5.0
O000094,2026-02-09,CU00923,S003,Website,DP01,3,3,On Time,4.5
O000095,2026-01-18,CU02347,S006,Physical Store,DP05,1,1,On Time,5.0
O000096,2026-06-24,CU03205,S001,Corporate,DP01,1,1,On Time,4.7
O000097,2026-01-13,CU01792,S008,Website,DP02,3,3,On Time,5.0
O000098,2026-06-04,CU01556,S004,Corporate,DP01,1,1,On Time,5.0
O000099,2026-03-15,CU00021,S005,Website,DP04,3,3,On Time,5.0
O000100,2026-04-06,CU01923,S005,Physical Store,DP03,1,1,On Time,4.8
O000101,2026-04-15,CU01065,S006,Website,DP01,3,3,On Time,4.8
O000102,2026-06-22,CU01984,S001,Corporate,DP02,1,1,On Time,5.0
O000103,2026-05-11,CU01900,S008,Mobile App,DP02,3,3,On Time,4.6
O000104,2026-05-30,CU03544,S005,Physical Store,DP03,1,1,On Time,4.8
O000105,2026-06-04,CU00967,S003,Physical Store,DP05,1,1,On Time,4.7
O000106,2026-03-08,CU02507,S008,Website,DP05,3,3,On Time,4.4
O000107,2026-02-02,CU00514,S003,Physical Store,DP03,1,1,On Time,5.0
O000108,2026-01-02,CU03575,S003,Website,DP02,3,3,On Time,5.0
O000109,2026-03-16,CU03116,S008,Mobile App,DP04,3,3,On Time,5.0
O000110,2026-06-23,CU00041,S008,Corporate,DP02,1,1,On Time,4.4
O000111,2026-03-15,CU00263,S003,Website,DP05,3,7,Delayed,2.1
O000112,2026-06-10,CU01033,S004,Mobile App,DP03,3,3,On Time,5.0
O000113,2026-05-15,CU03125,S006,Physical Store,DP01,1,1,On Time,5.0
O000114,2026-05-23,CU01820,S001,Physical Store,DP01,1,1,On Time,5.0
O000115,2026-01-26,CU00128,S009,Website,DP02,3,3,On Time,5.0
O000116,2026-05-19,CU02579,S002,Physical Store,DP03,1,1,On Time,4.7
O000117,2026-05-08,CU04621,S001,Mobile App,DP05,3,3,On Time,5.0
O000118,2026-06-15,CU04853,S005,Mobile App,DP04,3,4,Delayed,4.1
O000119,2026-01-27,CU03014,S007,Website,DP01,3,5,Delayed,3.6
O000120,2026-05-15,CU03212,S008,Mobile App,DP01,3,3,On Time,4.5
O000121,2026-05-09,CU00894,S005,Website,DP02,3,3,On Time,5.0
O000122,2026-01-21,CU02807,S008,Website,DP05,3,3,On Time,5.0
O000123,2026-03-20,CU02280,S003,Website,DP01,3,3,On Time,4.6
O000124,2026-06-07,CU04184,S007,Mobile App,DP03,3,3,On Time,5.0
O000125,2026-04-04,CU02814,S008,Website,DP01,3,3,On Time,4.7
O000126,2026-01-08,CU01788,S005,Website,DP03,3,3,On Time,5.0
O000127,2026-03-24,CU04733,S005,Website,DP04,3,3,On Time,4.4
O000128,2026-01-03,CU02249,S007,Website,DP05,3,3,On Time,5.0
O000129,2026-02-24,CU03034,S002,Physical Store,DP01,1,1,On Time,4.0
O000130,2026-05-23,CU02409,S003,Website,DP05,3,4,Delayed,3.9
O000131,2026-02-05,CU02180,S009,Website,DP02,3,3,On Time,4.4
O000132,2026-01-06,CU00177,S007,Physical Store,DP02,1,1,On Time,4.3
O000133,2026-05-01,CU03124,S006,Physical Store,DP05,1,1,On Time,4.6
O000134,2026-02-11,CU00022,S001,Website,DP01,3,3,On Time,5.0
O000135,2026-02-19,CU00653,S007,Mobile App,DP04,3,3,On Time,5.0
O000136,2026-04-22,CU03391,S005,Website,DP01,3,6,Delayed,3.5
O000137,2026-05-26,CU00783,S006,Physical Store,DP03,1,1,On Time,5.0
O000138,2026-02-19,CU00168,S002,Mobile App,DP02,3,3,On Time,5.0
O000139,2026-01-30,CU01062,S008,Mobile App,DP05,3,3,On Time,5.0
O000140,2026-02-08,CU00873,S006,Corporate,DP03,1,1,On Time,5.0
O000141,2026-04-26,CU01782,S002,Corporate,DP01,1,1,On Time,5.0
O000142,2026-05-20,CU01397,S008,Mobile App,DP03,3,3,On Time,4.3
O000143,2026-02-28,CU00632,S001,Corporate,DP02,1,1,On Time,5.0
O000144,2026-03-17,CU01602,S002,Mobile App,DP02,3,3,On Time,4.8
O000145,2026-06-21,CU02882,S005,Corporate,DP05,1,1,On Time,4.7
O000146,2026-05-12,CU01451,S006,Website,DP05,3,3,On Time,4.9
O000147,2026-06-13,CU01864,S005,Corporate,DP03,1,1,On Time,5.0
O000148,2026-02-17,CU00722,S002,Physical Store,DP04,1,1,On Time,5.0
O000149,2026-05-22,CU04536,S003,Physical Store,DP02,1,1,On Time,5.0
O000150,2026-03-22,CU03337,S004,Website,DP02,3,3,On Time,5.0
O000151,2026-02-18,CU00243,S008,Physical Store,DP03,1,1,On Time,4.8
O000152,2026-03-08,CU02649,S001,Website,DP01,3,3,On Time,5.0
O000153,2026-03-18,CU04639,S006,Mobile App,DP01,3,7,Delayed,1.8
O000154,2026-05-17,CU04373,S007,Physical Store,DP04,1,3,Delayed,4.1
O000155,2026-01-21,CU04646,S009,Physical Store,DP02,1,1,On Time,5.0
O000156,2026-04-15,CU00403,S003,Website,DP05,3,3,On Time,5.0
O000157,2026-03-13,CU01454,S003,Website,DP01,3,3,On Time,4.6
O000158,2026-01-16,CU00997,S004,Website,DP01,3,7,Delayed,2.4
O000159,2026-05-24,CU04172,S001,Mobile App,DP02,3,3,On Time,5.0
O000160,2026-01-28,CU03151,S007,Physical Store,DP01,1,1,On Time,5.0
O000161,2026-06-28,CU04414,S003,Mobile App,DP02,3,3,On Time,5.0
O000162,2026-03-21,CU03502,S005,Website,DP03,3,3,On Time,5.0
O000163,2026-02-26,CU01187,S007,Physical Store,DP05,1,1,On Time,4.8
O000164,2026-04-20,CU01382,S005,Website,DP03,3,3,On Time,5.0
O000165,2026-02-21,CU04425,S006,Physical Store,DP03,1,2,Delayed,4.3
O000166,2026-06-23,CU01855,S004,Physical Store,DP01,1,1,On Time,4.8
O000167,2026-06-15,CU01905,S001,Physical Store,DP02,1,1,On Time,5.0
O000168,2026-03-25,CU03667,S007,Website,DP04,3,3,On Time,5.0
O000169,2026-02-17,CU01949,S002,Website,DP01,3,3,On Time,4.5
O000170,2026-05-07,CU04034,S007,Corporate,DP01,1,1,On Time,4.5
O000171,2026-06-18,CU04572,S001,Corporate,DP01,1,1,On Time,5.0
O000172,2026-04-08,CU03528,S009,Physical Store,DP02,1,1,On Time,5.0
O000173,2026-04-28,CU01753,S004,Website,DP01,3,3,On Time,5.0
O000174,2026-04-03,CU01738,S009,Corporate,DP05,1,1,On Time,4.1
O000175,2026-03-08,CU01814,S003,Website,DP02,3,3,On Time,5.0
O000176,2026-03-15,CU01955,S002,Corporate,DP01,1,1,On Time,4.5
O000177,2026-03-25,CU04010,S005,Physical Store,DP05,1,1,On Time,5.0
O000178,2026-06-04,CU00538,S003,Website,DP02,3,3,On Time,4.8
O000179,2026-06-09,CU02391,S006,Mobile App,DP01,3,3,On Time,5.0
O000180,2026-01-10,CU01790,S004,Physical Store,DP03,1,1,On Time,5.0
O000181,2026-06-17,CU01191,S004,Corporate,DP04,1,3,Delayed,4.1
O000182,2026-05-25,CU03937,S005,Mobile App,DP04,3,4,Delayed,4.1
O000183,2026-04-28,CU01496,S006,Physical Store,DP03,1,1,On Time,4.5
O000184,2026-04-07,CU02188,S006,Physical Store,DP04,1,1,On Time,5.0
O000185,2026-01-06,CU04524,S007,Physical Store,DP01,1,1,On Time,5.0
O000186,2026-06-16,CU03371,S007,Corporate,DP01,1,1,On Time,5.0
O000187,2026-01-18,CU01260,S004,Mobile App,DP03,3,3,On Time,4.7
O000188,2026-03-13,CU04076,S006,Mobile App,DP02,3,3,On Time,4.9
O000189,2026-03-30,CU03031,S004,Physical Store,DP01,1,1,On Time,5.0
O000190,2026-02-11,CU04696,S002,Mobile App,DP03,3,3,On Time,5.0
O000191,2026-01-04,CU00097,S008,Website,DP03,3,6,Delayed,3.1
O000192,2026-01-20,CU04574,S001,Corporate,DP03,1,1,On Time,5.0
O000193,2026-01-28,CU04587,S005,Physical Store,DP01,1,1,On Time,4.7
O000194,2026-06-17,CU01320,S003,Corporate,DP01,1,1,On Time,5.0
O000195,2026-04-14,CU04502,S006,Physical Store,DP01,1,1,On Time,5.0
O000196,2026-02-13,CU00715,S008,Mobile App,DP02,3,3,On Time,4.3
O000197,2026-01-23,CU02495,S001,Website,DP03,3,3,On Time,5.0
O000198,2026-02-16,CU02747,S004,Website,DP02,3,3,On Time,5.0
O000199,2026-01-13,CU04044,S004,Physical Store,DP01,1,1,On Time,5.0
O000200,2026-05-24,CU00585,S006,Physical Store,DP02,1,1,On Time,5.0
O000201,2026-04-05,CU00954,S001,Website,DP01,3,3,On Time,5.0
O000202,2026-01-16,CU02898,S006,Physical Store,DP02,1,1,On Time,4.6
O000203,2026-04-29,CU02031,S009,Physical Store,DP01,1,1,On Time,5.0
O000204,2026-06-14,CU00594,S001,Corporate,DP04,1,3,Delayed,3.8
O000205,2026-06-29,CU01832,S003,Mobile App,DP02,3,7,Delayed,2.2
O000206,2026-04-27,CU00356,S005,Physical Store,DP01,1,1,On Time,5.0
O000207,2026-01-10,CU01677,S002,Physical Store,DP01,1,1,On Time,4.9
O000208,2026-05-02,CU03119,S003,Physical Store,DP01,1,1,On Time,4.5
O000209,2026-02-07,CU00112,S002,Physical Store,DP04,1,1,On Time,4.0
O000210,2026-02-13,CU03735,S004,Physical Store,DP01,1,1,On Time,4.7
O000211,2026-04-05,CU04471,S008,Website,DP05,3,3,On Time,4.0
O000212,2026-03-15,CU00845,S009,Physical Store,DP01,1,1,On Time,5.0
O000213,2026-04-23,CU02174,S008,Corporate,DP02,1,1,On Time,5.0
O000214,2026-02-20,CU03079,S001,Physical Store,DP01,1,1,On Time,4.7
O000215,2026-02-21,CU02610,S009,Mobile App,DP01,3,3,On Time,5.0
O000216,2026-04-02,CU01384,S005,Mobile App,DP02,3,3,On Time,5.0
O000217,2026-02-28,CU03971,S002,Corporate,DP01,1,1,On Time,5.0
O000218,2026-01-13,CU00362,S009,Corporate,DP02,1,1,On Time,5.0
O000219,2026-06-18,CU00679,S002,Website,DP01,3,3,On Time,5.0
O000220,2026-01-12,CU02812,S001,Corporate,DP03,1,2,Delayed,4.7
O000221,2026-02-19,CU02823,S003,Corporate,DP02,1,1,On Time,4.4
O000222,2026-02-26,CU01732,S006,Website,DP01,3,3,On Time,5.0
O000223,2026-06-27,CU01288,S003,Website,DP04,3,4,Delayed,4.1
O000224,2026-04-29,CU04896,S006,Mobile App,DP04,3,3,On Time,5.0
O000225,2026-02-26,CU00275,S003,Website,DP04,3,3,On Time,5.0
O000226,2026-01-08,CU00906,S002,Corporate,DP03,1,1,On Time,4.8
O000227,2026-04-16,CU01883,S002,Physical Store,DP03,1,4,Delayed,2.5
O000228,2026-05-17,CU00492,S004,Corporate,DP05,1,1,On Time,4.7
O000229,2026-04-30,CU04755,S003,Corporate,DP05,1,1,On Time,4.7
O000230,2026-03-04,CU00541,S008,Corporate,DP04,1,1,On Time,5.0
O000231,2026-03-13,CU02887,S001,Mobile App,DP03,3,3,On Time,5.0
O000232,2026-05-11,CU04416,S006,Physical Store,DP01,1,3,Delayed,3.6
O000233,2026-01-13,CU00456,S006,Mobile App,DP02,3,3,On Time,5.0
O000234,2026-05-17,CU00651,S005,Mobile App,DP05,3,3,On Time,4.8
O000235,2026-02-21,CU01313,S008,Physical Store,DP02,1,1,On Time,4.8
O000236,2026-03-03,CU01305,S001,Physical Store,DP03,1,1,On Time,4.7
O000237,2026-04-29,CU04513,S005,Physical Store,DP05,1,2,Delayed,4.4
O000238,2026-04-19,CU03610,S004,Corporate,DP03,1,5,Delayed,2.0
O000239,2026-01-08,CU00804,S008,Website,DP02,3,6,Delayed,2.2
O000240,2026-04-05,CU00798,S002,Corporate,DP04,1,1,On Time,4.9
O000241,2026-05-05,CU03385,S007,Website,DP01,3,4,Delayed,4.4
O000242,2026-06-22,CU04705,S002,Website,DP05,3,3,On Time,4.3
O000243,2026-02-22,CU02013,S008,Physical Store,DP03,1,1,On Time,5.0
O000244,2026-03-04,CU02841,S005,Mobile App,DP02,3,3,On Time,5.0
O000245,2026-04-05,CU03063,S002,Physical Store,DP01,1,1,On Time,5.0
O000246,2026-03-22,CU01081,S001,Mobile App,DP02,3,3,On Time,5.0
O000247,2026-02-26,CU01314,S009,Physical Store,DP04,1,1,On Time,5.0
O000248,2026-05-27,CU02646,S002,Corporate,DP01,1,1,On Time,5.0
O000249,2026-03-08,CU03635,S001,Website,DP02,3,3,On Time,5.0
O000250,2026-02-15,CU02054,S007,Physical Store,DP01,1,1,On Time,5.0
O000251,2026-04-04,CU03515,S006,Website,DP04,3,3,On Time,4.9
O000252,2026-05-18,CU00310,S008,Physical Store,DP05,1,1,On Time,5.0
O000253,2026-04-23,CU00785,S003,Mobile App,DP05,3,3,On Time,5.0
O000254,2026-04-03,CU01615,S003,Website,DP05,3,3,On Time,4.4
O000255,2026-05-26,CU00823,S006,Physical Store,DP02,1,1,On Time,5.0
O000256,2026-05-20,CU01328,S006,Website,DP01,3,3,On Time,4.9
O000257,2026-02-18,CU00058,S003,Physical Store,DP02,1,1,On Time,4.8
O000258,2026-01-23,CU01249,S006,Corporate,DP01,1,1,On Time,4.4
O000259,2026-03-03,CU01450,S001,Website,DP03,3,3,On Time,5.0
O000260,2026-01-11,CU00518,S001,Website,DP05,3,3,On Time,4.3
O000261,2026-03-14,CU02078,S005,Physical Store,DP02,1,1,On Time,4.4
O000262,2026-04-28,CU00151,S004,Mobile App,DP01,3,7,Delayed,1.7
O000263,2026-03-29,CU04644,S002,Website,DP01,3,3,On Time,5.0
O000264,2026-03-30,CU02158,S003,Mobile App,DP03,3,3,On Time,4.6
O000265,2026-02-24,CU03674,S001,Website,DP02,3,3,On Time,4.7
O000266,2026-06-02,CU02514,S006,Website,DP03,3,3,On Time,4.8
O000267,2026-01-09,CU02285,S005,Mobile App,DP02,3,7,Delayed,2.6
O000268,2026-01-12,CU01395,S006,Website,DP05,3,3,On Time,5.0
O000269,2026-05-19,CU01706,S006,Corporate,DP01,1,1,On Time,5.0
O000270,2026-04-23,CU01173,S002,Corporate,DP02,1,1,On Time,4.9
O000271,2026-06-15,CU02422,S008,Mobile App,DP03,3,3,On Time,5.0
O000272,2026-06-05,CU00600,S006,Physical Store,DP01,1,1,On Time,4.1
O000273,2026-01-08,CU03505,S002,Mobile App,DP01,3,3,On Time,4.8
O000274,2026-06-24,CU02300,S001,Physical Store,DP04,1,3,Delayed,4.0
O000275,2026-02-05,CU04016,S009,Physical Store,DP03,1,1,On Time,4.7
O000276,2026-05-05,CU01497,S004,Mobile App,DP04,3,3,On Time,4.3
O000277,2026-02-19,CU03118,S008,Mobile App,DP01,3,3,On Time,4.6
O000278,2026-04-17,CU04703,S002,Mobile App,DP03,3,3,On Time,4.5
O000279,2026-01-09,CU00435,S009,Physical Store,DP01,1,1,On Time,4.9
O000280,2026-03-08,CU02659,S008,Physical Store,DP02,1,1,On Time,4.6
O000281,2026-02-22,CU03700,S002,Corporate,DP02,1,1,On Time,5.0
O000282,2026-03-23,CU02324,S009,Physical Store,DP04,1,4,Delayed,2.5
O000283,2026-04-20,CU02896,S008,Website,DP04,3,3,On Time,4.6
O000284,2026-05-25,CU01532,S002,Physical Store,DP01,1,1,On Time,4.3
O000285,2026-02-22,CU03167,S006,Physical Store,DP04,1,1,On Time,5.0
O000286,2026-06-05,CU04763,S005,Physical Store,DP01,1,1,On Time,5.0
O000287,2026-04-24,CU00782,S002,Physical Store,DP01,1,1,On Time,4.1
O000288,2026-03-04,CU01426,S008,Physical Store,DP04,1,1,On Time,5.0
O000289,2026-05-23,CU04929,S001,Physical Store,DP04,1,4,Delayed,4.1
O000290,2026-01-19,CU02552,S008,Physical Store,DP02,1,1,On Time,4.7
O000291,2026-05-04,CU03487,S006,Physical Store,DP02,1,1,On Time,4.5
O000292,2026-03-27,CU02324,S009,Physical Store,DP01,1,1,On Time,5.0
O000293,2026-03-11,CU04422,S006,Mobile App,DP05,3,3,On Time,5.0
O000294,2026-02-16,CU00557,S001,Mobile App,DP03,3,3,On Time,4.7
O000295,2026-04-18,CU00513,S005,Physical Store,DP02,1,1,On Time,5.0
O000296,2026-06-25,CU03219,S007,Mobile App,DP01,3,3,On Time,4.4
O000297,2026-01-20,CU04152,S004,Physical Store,DP05,1,1,On Time,4.8
O000298,2026-02-06,CU04116,S004,Website,DP01,3,5,Delayed,3.1
O000299,2026-05-10,CU03542,S003,Physical Store,DP02,1,1,On Time,5.0
O000300,2026-02-05,CU02900,S008,Website,DP01,3,3,On Time,5.0
O000301,2026-05-13,CU04097,S005,Physical Store,DP03,1,1,On Time,5.0
O000302,2026-03-05,CU02961,S006,Physical Store,DP02,1,1,On Time,5.0
O000303,2026-01-07,CU04944,S003,Corporate,DP01,1,2,Delayed,4.3
O000304,2026-04-30,CU01253,S001,Mobile App,DP03,3,3,On Time,4.7
O000305,2026-01-22,CU00725,S008,Physical Store,DP01,1,1,On Time,4.8
O000306,2026-02-15,CU01307,S008,Physical Store,DP05,1,1,On Time,5.0
O000307,2026-06-17,CU00760,S007,Physical Store,DP03,1,1,On Time,4.9
O000308,2026-04-20,CU00227,S007,Physical Store,DP01,1,1,On Time,5.0
O000309,2026-02-15,CU04798,S004,Website,DP04,3,3,On Time,5.0
O000310,2026-01-28,CU00308,S006,Website,DP03,3,3,On Time,5.0
O000311,2026-03-28,CU03379,S006,Website,DP03,3,3,On Time,5.0
O000312,2026-02-04,CU03010,S008,Physical Store,DP04,1,1,On Time,5.0
O000313,2026-05-09,CU01518,S001,Mobile App,DP01,3,3,On Time,4.6
O000314,2026-06-06,CU01532,S006,Physical Store,DP03,1,1,On Time,5.0
O000315,2026-01-09,CU01845,S002,Corporate,DP04,1,3,Delayed,2.7
O000316,2026-01-09,CU02669,S005,Mobile App,DP02,3,4,Delayed,3.3
O000317,2026-01-22,CU04749,S009,Corporate,DP03,1,1,On Time,4.3
O000318,2026-03-11,CU00797,S001,Mobile App,DP05,3,3,On Time,5.0
O000319,2026-05-21,CU04576,S006,Physical Store,DP03,1,1,On Time,4.3
O000320,2026-05-27,CU01780,S009,Physical Store,DP03,1,1,On Time,3.3
O000321,2026-06-10,CU04993,S005,Website,DP01,3,3,On Time,5.0
O000322,2026-03-06,CU00586,S005,Mobile App,DP01,3,3,On Time,5.0
O000323,2026-05-20,CU01379,S003,Website,DP03,3,3,On Time,5.0
O000324,2026-02-12,CU04358,S002,Physical Store,DP02,1,1,On Time,4.9
O000325,2026-01-17,CU04791,S007,Physical Store,DP03,1,1,On Time,5.0
O000326,2026-03-09,CU03811,S003,Website,DP04,3,3,On Time,4.4
O000327,2026-01-29,CU04032,S003,Website,DP04,3,3,On Time,5.0
O000328,2026-05-15,CU02725,S002,Website,DP05,3,3,On Time,5.0
O000329,2026-02-13,CU01848,S004,Physical Store,DP02,1,4,Delayed,2.9
O000330,2026-05-13,CU02238,S008,Website,DP04,3,3,On Time,5.0
O000331,2026-05-14,CU01042,S004,Website,DP03,3,3,On Time,4.5
O000332,2026-01-07,CU04840,S004,Mobile App,DP02,3,3,On Time,4.7
O000333,2026-06-23,CU03486,S006,Physical Store,DP04,1,2,Delayed,3.8
O000334,2026-02-23,CU00243,S009,Mobile App,DP01,3,3,On Time,4.4
O000335,2026-02-15,CU02101,S003,Corporate,DP04,1,1,On Time,5.0
O000336,2026-05-18,CU01250,S007,Website,DP01,3,3,On Time,5.0
O000337,2026-01-04,CU01738,S004,Website,DP05,3,3,On Time,4.3
O000338,2026-06-02,CU03670,S007,Mobile App,DP01,3,3,On Time,4.0
O000339,2026-04-01,CU01919,S004,Physical Store,DP01,1,1,On Time,5.0
O000340,2026-03-02,CU04415,S006,Mobile App,DP04,3,3,On Time,5.0
O000341,2026-06-15,CU02755,S003,Website,DP01,3,3,On Time,4.9
O000342,2026-06-09,CU01393,S004,Website,DP02,3,4,Delayed,4.0
O000343,2026-05-31,CU00248,S005,Physical Store,DP02,1,1,On Time,5.0
O000344,2026-04-21,CU04273,S007,Physical Store,DP02,1,1,On Time,3.8
O000345,2026-02-06,CU01686,S001,Website,DP02,3,3,On Time,5.0
O000346,2026-01-03,CU01932,S008,Physical Store,DP01,1,1,On Time,5.0
