order_id,order_date,customer_id,product_id,store_id,channel,quantity,payment_method,unit_cost,list_price,category,discount_pct,unit_price,revenue,cost,gross_profit,gross_margin_pct
O000012,2026-06-18,CU01137,P0064,S003,Website,3,Transfer,104.14,139.63,Audio,0.08945217276544783,127.13979311676052,381.42,312.42,69.0,18.09
O000013,2026-01-25,CU04132,P0058,S007,Website,3,Cash,168.05,222.65,Small Appliances,0.11493029375350203,197.06077009578277,591.18,504.15,87.03,14.72
O000014,2026-06-30,CU00623,P0004,S001,Mobile App,2,Transfer,702.13,1200.34,Laptops,0.10206794812743288,1077.823759144717,2155.65,1404.26,751.39,34.86
O000015,2026-02-02,CU02897,P0072,S004,Mobile App,2,Wallet,719.02,915.34,Gaming,0.024412503339992103,892.9942591927717,1785.99,1438.04,347.95,19.48
O000016,2026-03-28,CU04969,P0014,S007,Website,1,Wallet,716.69,1227.56,Smartphones,0.09837251228010611,1106.801838825433,1106.8,716.69,390.11,35.25
O000017,2026-03-14,CU01416,P0023,S005,Physical Store,2,Card,722.88,1120.53,TVs,0.03230875793188115,1084.3270674745893,2168.65,1445.76,722.89,33.33
O000018,2026-01-06,CU02063,P0036,S005,Website,1,Card,1007.31,1469.57,Refrigerators,0.10328107014375416,1317.791237748843,1317.79,1007.31,310.48,23.56
O000019,2026-05-17,CU02688,P0024,S003,Mobile App,1,Wallet,1563.24,1925.98,TVs,0.17178983621398305,1595.116211248593,1595.12,1563.24,31.88,2.0
O000020,2026-03-08,CU04263,P0021,S008,Corporate,2,Card,891.52,1232.24,TVs,0.044856503336550835,1176.9660223285684,2353.93,1783.04,570.89,24.25
O000021,2026-05-24,CU01689,P0063,S003,Physical Store,3,Transfer,263.81,397.5,Audio,0.12131939736864504,349.27553954596357,1047.83,791.43,256.4,24.47
O000022,2026-04-03,CU04159,P0047,S007,Physical Store,1,Transfer,346.24,509.04,Air Conditioners,0.07334884759767188,471.7025026188811,471.7,346.24,125.46,26.6
O000023,2026-04-18,CU00203,P0069,S001,Physical Store,2,Card,255.42,400.31,Audio,0.05474410902587232,378.395385715853,756.79,510.84,245.95,32.5
O000024,2026-06-17,CU01539,P0015,S003,Mobile App,2,Card,485.3,707.8,Smartphones,0.10796794050288835,631.3802917120555,1262.76,970.6,292.16,23.14
O000025,2026-01-26,CU01125,P0031,S001,Website,1,Transfer,1486.05,2253.59,Refrigerators,0.09851036867406568,2031.5880182598123,2031.59,1486.05,545.54,26.85
O000026,2026-02-07,CU00895,P0004,S004,Physical Store,1,Card,702.13,1200.34,Laptops,0.08625608429059706,1096.8033717826247,1096.8,702.13,394.67,35.98
O000027,2026-06-12,CU01556,P0004,S003,Mobile App,2,Transfer,702.13,1200.34,Laptops,0.16434259524830885,1003.0730092196449,2006.15,1404.26,601.89,30.0
O000028,2026-05-22,CU02451,P0044,S009,Mobile App,1,Transfer,432.33,658.71,Air Conditioners,0.09634343739422362,595.247614354051,595.25,432.33,162.92,27.37
O000029,2026-06-24,CU00787,P0061,S002,Website,3,Wallet,310.54,395.08,Audio,0.07069129598932603,367.1512827805371,1101.45,931.62,169.83,15.42
O000030,2026-04-13,CU00976,P0063,S005,Mobile App,1,Card,263.81,397.5,Audio,0.05609217827195297,375.20335913689865,375.2,263.81,111.39,29.69
O000031,2026-02-11,CU04930,P0026,S003,Mobile App,3,Card,1099.51,1883.52,TVs,0.11122386511730438,1674.0276255742547,5022.08,3298.53,1723.55,34.32
O000032,2026-06-28,CU04289,P0050,S003,Physical Store,5,Card,794.99,1174.43,Air Conditioners,0.10174351462111716,1054.9393641235215,5274.7,3974.95,1299.75,24.64
O000033,2026-05-27,CU02947,P0033,S005,Mobile App,1,Transfer,1320.48,1847.6,Refrigerators,0.11924990081802236,1627.2738832486218,1627.27,1320.48,306.79,18.85
O000034,2026-03-07,CU02200,P0004,S002,Mobile App,3,Transfer,702.13,1200.34,Laptops,0.09617748273898914,1084.8943203690817,3254.68,2106.39,1148.29,35.28
O000035,2026-06-24,CU03878,P0057,S005,Physical Store,3,Card,295.92,493.69,Small Appliances,0.05535041380672133,466.36405420775975,1399.09,887.76,511.33,36.55
O000036,2026-02-11,CU04482,P0062,S003,Mobile App,1,Wallet,164.74,282.09,Audio,0.06544817082718753,263.62772549135866,263.63,164.74,98.89,37.51
O000037,2026-02-07,CU03280,P0034,S002,Mobile App,3,Transfer,1059.44,1389.27,Refrigerators,0.02838538288140631,1349.8350391243487,4049.51,3178.32,871.19,21.51
O000038,2026-05-21,CU03037,P0034,S005,Website,1,Transfer,1059.44,1389.27,Refrigerators,0.1186537065495341,1224.4279651019287,1224.43,1059.44,164.99,13.47
O000039,2026-04-16,CU04076,P0002,S003,Physical Store,1,Card,988.97,1601.72,Laptops,0.07593799077003613,1480.0886014238176,1480.09,988.97,491.12,33.18
O000040,2026-06-21,CU04268,P0043,S008,Physical Store,2,Card,488.48,742.54,Air Conditioners,0.12629676916741384,648.7595970224285,1297.52,976.96,320.56,24.71
O000041,2026-06-01,CU00337,P0072,S002,Website,5,Card,719.02,915.34,Gaming,0.05182481840042778,867.9026707253526,4339.51,3595.1,744.41,17.15
O000042,2026-04-06,CU03668,P0049,S007,Physical Store,1,Transfer,537.47,817.36,Air Conditioners,0.11233807239238223,725.5393531493625,725.54,537.47,188.07,25.92
O000043,2026-06-07,CU02940,P0021,S008,Physical Store,3,Card,891.52,1232.24,TVs,0.16872393550919992,1024.3316177081435,3072.99,2674.56,398.43,12.97
O000044,2026-03-11,CU00605,P0012,S007,Physical Store,1,Card,720.32,1046.79,Smartphones,0.03610010049135308,1009.0007758066565,1009.0,720.32,288.68,28.61
O000045,2026-02-07,CU02537,P0036,S002,Physical Store,1,Cash,1007.31,1469.57,Refrigerators,0.09627289230174915,1328.0902456601184,1328.09,1007.31,320.78,24.15
O000046,2026-04-07,CU00666,P0001,S009,Physical Store,3,Transfer,771.97,1237.09,Laptops,0.06706162158288417,1154.1287385560297,3462.39,2315.91,1146.48,33.11
O000047,2026-04-18,CU02918,P0042,S006,Website,1,Cash,1022.85,1323.42,Air Conditioners,0.04640479987930227,1262.006959743734,1262.01,1022.85,239.16,18.95
O000048,2026-04-29,CU01233,P0016,S009,Mobile App,1,Card,475.65,609.83,Smartphones,0.11213918078720149,541.4441633805409,541.44,475.65,65.79,12.15
O000049,2026-05-31,CU03788,P0049,S003,Website,2,Card,537.47,817.36,Air Conditioners,0.11457403483023507,723.7117668911591,1447.42,1074.94,372.48,25.73
O000050,2026-03-15,CU00352,P0006,S009,Corporate,3,Card,562.05,900.7,Laptops,0.036399535491131,867.9149383831384,2603.74,1686.15,917.59,35.24
O000051,2026-02-26,CU01762,P0013,S003,Physical Store,2,Card,415.57,511.94,Smartphones,0.1151075192811936,453.01185657918575,906.02,831.14,74.88,8.26
O000052,2026-04-20,CU02896,P0045,S003,Mobile App,3,Transfer,472.94,643.07,Air Conditioners,0.07280130479036147,596.2536649284623,1788.76,1418.82,369.94,20.68
O000053,2026-03-20,CU03767,P0009,S008,Website,2,Transfer,629.19,942.0,Laptops,0.07480471929194127,871.5339544269914,1743.07,1258.38,484.69,27.81
O000054,2026-05-31,CU04571,P0028,S006,Mobile App,2,Cash,382.18,608.84,TVs,0.14696651473880923,519.3609071664234,1038.72,764.36,274.36,26.41
O000055,2026-02-05,CU02525,P0064,S001,Website,2,Transfer,104.14,139.63,Audio,0.062047197311919544,130.96634983933666,261.93,208.28,53.65,20.48
O000056,2026-02-26,CU01150,P0034,S002,Website,1,Card,1059.44,1389.27,Refrigerators,0.056958989303764085,1310.1385849299597,1310.14,1059.44,250.7,19.14
O000057,2026-05-09,CU04539,P0032,S008,Mobile App,1,Transfer,614.96,814.41,Refrigerators,0.09594881327747845,736.2683269786888,736.27,614.96,121.31,16.48
O000058,2026-01-03,CU04351,P0065,S007,Physical Store,3,Card,249.76,319.78,Audio,0.06907231553164038,297.692054939292,893.08,749.28,143.8,16.1
O000059,2026-01-14,CU00070,P0052,S008,Physical Store,1,Transfer,128.25,170.78,Small Appliances,0.07781718162936126,157.49038172133768,157.49,128.25,29.24,18.57
O000060,2026-02-03,CU00578,P0074,S008,Physical Store,2,Card,262.51,329.93,Gaming,0.05567890279586199,311.55985960056125,623.12,525.02,98.1,15.74
O000061,2026-03-11,CU04591,P0066,S006,Physical Store,3,Card,302.97,498.93,Audio,0.07923948127990492,459.39504560501706,1378.19,908.91,469.28,34.05
O000062,2026-03-10,CU04085,P0004,S007,Website,1,Transfer,702.13,1200.34,Laptops,0.08600148055102431,1097.1089828353834,1097.11,702.13,394.98,36.0
O000063,2026-06-28,CU04877,P0025,S006,Corporate,5,Transfer,964.47,1571.25,TVs,0.1049317901190423,1406.3759247754547,7031.88,4822.35,2209.53,31.42
O000064,2026-04-14,CU02451,P0080,S001,Corporate,3,Transfer,309.8,419.88,Gaming,0.11219634881676598,372.7709970588163,1118.31,929.4,188.91,16.89
O000065,2026-01-29,CU04947,P0063,S005,Mobile App,1,Card,263.81,397.5,Audio,0.07108096019986146,369.2453183205551,369.25,263.81,105.44,28.56
O000066,2026-02-17,CU00129,P0040,S001,Website,2,Card,1790.06,2397.14,Refrigerators,0.05706809523078431,2260.3397861984777,4520.68,3580.12,940.56,20.81
O000067,2026-04-04,CU01507,P0069,S002,Website,2,Transfer,255.42,400.31,Audio,0.08968789199024667,364.40703995738437,728.81,510.84,217.97,29.91
O000068,2026-03-20,CU04089,P0056,S005,Website,2,Card,250.75,359.51,Small Appliances,0.11395331690762629,318.54264303853927,637.09,501.5,135.59,21.28
O000069,2026-04-27,CU01649,P0023,S002,Website,3,Transfer,722.88,1120.53,TVs,0.07447605017280251,1037.0773514998696,3111.23,2168.64,942.59,30.3
O000070,2026-05-24,CU03168,P0003,S004,Website,3,Transfer,718.1,1040.4,Laptops,0.11312014523010663,922.7098009025972,2768.13,2154.3,613.83,22.17
O000071,2026-05-18,CU02549,P0065,S003,Mobile App,3,Transfer,249.76,319.78,Audio,0.10135694332617176,287.3680766631568,862.1,749.28,112.82,13.09
O000072,2026-05-27,CU01480,P0051,S009,Mobile App,1,Card,71.82,88.55,Small Appliances,0.12716375035604932,77.28964990597183,77.29,71.82,5.47,7.08
O000073,2026-03-08,CU01803,P0025,S005,Website,2,Transfer,964.47,1571.25,TVs,0.03804659871961638,1511.469281761803,3022.94,1928.94,1094.0,36.19
O000074,2026-06-13,CU00008,P0080,S002,Website,2,Wallet,309.8,419.88,Gaming,0.08843527117377699,382.7477983395545,765.5,619.6,145.9,19.06
O000075,2026-05-12,CU00220,P0041,S006,Physical Store,1,Transfer,1272.84,1644.61,Air Conditioners,0.042160273779083796,1575.2727921401809,1575.27,1272.84,302.43,19.2
O000076,2026-03-16,CU00725,P0005,S006,Website,3,Transfer,1427.65,1772.92,Laptops,0.07331408957507199,1642.9399843105634,4928.82,4282.95,645.87,13.1
O000077,2026-06-10,CU04198,P0064,S005,Website,2,Cash,104.14,139.63,Audio,0.11264329257323433,123.90161705799929,247.8,208.28,39.52,15.95
O000078,2026-01-28,CU02050,P0006,S003,Website,1,Cash,562.05,900.7,Laptops,0.10033860586010314,810.3250177018051,810.33,562.05,248.28,30.64
O000079,2026-05-01,CU03786,P0076,S008,Mobile App,1,Cash,664.4,1143.13,Gaming,0.023600746213803807,1116.1512789806145,1116.15,664.4,451.75,40.47
O000080,2026-01-09,CU03913,P0046,S005,Physical Store,1,Card,393.82,500.68,Air Conditioners,0.050102729442437696,475.5945654227603,475.59,393.82,81.77,17.19
O000081,2026-05-14,CU02743,P0023,S009,Physical Store,1,Card,722.88,1120.53,TVs,0.04045503527554755,1075.1989193226907,1075.2,722.88,352.32,32.77
O000082,2026-05-03,CU00771,P0038,S004,Corporate,3,Card,1033.6,1615.43,Refrigerators,0.04892420972988232,1536.3963638760563,4609.19,3100.8,1508.39,32.73
O000083,2026-02-18,CU04930,P0005,S004,Physical Store,3,Card,1427.65,1772.92,Laptops,0.0662695279581641,1655.4294284924117,4966.29,4282.95,683.34,13.76
O000084,2026-04-01,CU00740,P0061,S002,Physical Store,1,Wallet,310.54,395.08,Audio,0.027018678925655543,384.405460330052,384.41,310.54,73.87,19.22
O000085,2026-05-05,CU04296,P0002,S003,Mobile App,2,Transfer,988.97,1601.72,Laptops,0.06911713188307389,1491.0137075202429,2982.03,1977.94,1004.09,33.67
O000086,2026-03-17,CU04122,P0003,S007,Website,3,Card,718.1,1040.4,Laptops,0.09334446249062857,943.2844212247502,2829.85,2154.3,675.55,23.87
O000087,2026-05-30,CU02018,P0007,S006,Physical Store,1,Transfer,802.5,1173.82,Laptops,0.12968955522389736,1021.5878062870847,1021.59,802.5,219.09,21.45
O000088,2026-04-14,CU04198,P0076,S007,Website,1,Card,664.4,1143.13,Gaming,0.08508615941241723,1045.8654585908835,1045.87,664.4,381.47,36.47
O000089,2026-06-25,CU00197,P0050,S007,Physical Store,2,Card,794.99,1174.43,Air Conditioners,0.11270229068653155,1042.0690487490167,2084.14,1589.98,494.16,23.71
O000090,2026-05-29,CU00510,P0060,S009,Physical Store,1,Cash,145.1,235.48,Small Appliances,0.1281526900559296,205.3026045456297,205.3,145.1,60.2,29.32
O000091,2026-02-02,CU01996,P0065,S003,Physical Store,1,Transfer,249.76,319.78,Audio,0.10423915474369336,286.4464030960617,286.45,249.76,36.69,12.81
O000092,2026-06-06,CU01015,P0065,S006,Website,2,Card,249.76,319.78,Audio,0.11992530984320626,281.43028441833945,562.86,499.52,63.34,11.25
O000093,2026-02-22,CU03102,P0062,S002,Corporate,1,Transfer,164.74,282.09,Audio,0.051134342064330665,267.66551344707295,267.67,164.74,102.93,38.45
O000094,2026-02-09,CU00923,P0054,S003,Website,2,Transfer,290.08,489.71,Small Appliances,0.05570088229591422,462.43272093086784,924.87,580.16,344.71,37.27
O000095,2026-01-18,CU02347,P0053,S006,Physical Store,1,Transfer,80.61,125.16,Small Appliances,0.048682064891910126,119.06695275812852,119.07,80.61,38.46,32.3
O000096,2026-06-24,CU03205,P0009,S001,Corporate,2,Wallet,629.19,942.0,Laptops,0.1654554557242435,786.1409607077627,1572.28,1258.38,313.9,19.96
O000097,2026-01-13,CU01792,P0001,S008,Website,1,Card,771.97,1237.09,Laptops,0.05856993620518597,1164.6337176199265,1164.63,771.97,392.66,33.72
O000098,2026-06-04,CU01556,P0015,S004,Corporate,2,Wallet,485.3,707.8,Smartphones,0.08084548051455703,650.5775688917964,1301.16,970.6,330.56,25.41
O000099,2026-03-15,CU00021,P0036,S005,Website,3,Card,1007.31,1469.57,Refrigerators,0.0292135692059789,1426.6386151019694,4279.92,3021.93,1257.99,29.39
O000100,2026-04-06,CU01923,P0010,S005,Physical Store,1,Card,880.36,1310.46,Laptops,0.03263842747106193,1267.6886463362723,1267.69,880.36,387.33,30.55
O000101,2026-04-15,CU01065,P0050,S006,Website,1,Transfer,794.99,1174.43,Air Conditioners,0.025837084692349726,1144.0861526247638,1144.09,794.99,349.1,30.51
O000102,2026-06-22,CU01984,P0031,S001,Corporate,2,Cash,1486.05,2253.59,Refrigerators,0.09369400871937507,2042.4421188901038,4084.88,2972.1,1112.78,27.24
O000103,2026-05-11,CU01900,P0069,S008,Mobile App,1,Transfer,255.42,400.31,Audio,0.02798380972051622,389.10780113078016,389.11,255.42,133.69,34.36
O000104,2026-05-30,CU03544,P0016,S005,Physical Store,1,Transfer,475.65,609.83,Smartphones,0.14525700263041347,521.247922085895,521.25,475.65,45.6,8.75
O000105,2026-06-04,CU00967,P0079,S003,Physical Store,2,Cash,647.24,926.57,Gaming,0.05998461343231609,870.990056732019,1741.98,1294.48,447.5,25.69
O000106,2026-03-08,CU02507,P0042,S008,Website,2,Transfer,1022.85,1323.42,Air Conditioners,0.0976622590088471,1194.1718131825116,2388.34,2045.7,342.64,14.35
O000107,2026-02-02,CU00514,P0026,S003,Physical Store,1,Wallet,1099.51,1883.52,TVs,0.08169395357586451,1729.6478045607876,1729.65,1099.51,630.14,36.43
O000108,2026-01-02,CU03575,P0030,S003,Website,1,Transfer,436.69,718.47,TVs,0.10998638493560513,639.4480820153159,639.45,436.69,202.76,31.71
O000109,2026-03-16,CU03116,P0002,S008,Mobile App,2,Cash,988.97,1601.72,Laptops,0.06641066709449056,1495.3487063014124,2990.7,1977.94,1012.76,33.86
O000110,2026-06-23,CU00041,P0067,S008,Corporate,2,Card,419.36,653.31,Audio,0.07414706647046296,604.8689800041818,1209.74,838.72,371.02,30.67
O000111,2026-03-15,CU00263,P0056,S003,Website,1,Card,250.75,359.51,Small Appliances,0.05283153624360708,340.51653440506084,340.52,250.75,89.77,26.36
O000112,2026-06-10,CU01033,P0024,S004,Mobile App,2,Wallet,1563.24,1925.98,TVs,0.0981781965406896,1736.8907570265626,3473.78,3126.48,347.3,10.0
O000113,2026-05-15,CU03125,P0067,S006,Physical Store,2,Transfer,419.36,653.31,Audio,0.053353968224130105,618.4533190194935,1236.91,838.72,398.19,32.19
O000114,2026-05-23,CU01820,P0040,S001,Physical Store,2,Wallet,1790.06,2397.14,Refrigerators,0.03583978782870641,2311.2270110042946,4622.45,3580.12,1042.33,22.55
O000115,2026-01-26,CU00128,P0063,S009,Website,2,Card,263.81,397.5,Audio,0.11118131513143929,353.3054272352529,706.61,527.62,178.99,25.33
O000116,2026-05-19,CU02579,P0069,S002,Physical Store,3,Transfer,255.42,400.31,Audio,0.13236014527991008,347.3249102429992,1041.97,766.26,275.71,26.46
O000117,2026-05-08,CU04621,P0059,S001,Mobile App,1,Cash,181.01,221.82,Small Appliances,0.11021094729720247,197.37300767053455,197.37,181.01,16.36,8.29
O000118,2026-06-15,CU04853,P0061,S005,Mobile App,3,Card,310.54,395.08,Audio,0.041976473495069305,378.495934851568,1135.49,931.62,203.87,17.95
O000119,2026-01-27,CU03014,P0052,S007,Website,2,Transfer,128.25,170.78,Small Appliances,0.03419242967411238,164.9406168602551,329.88,256.5,73.38,22.24
O000120,2026-05-15,CU03212,P0076,S008,Mobile App,1,Card,664.4,1143.13,Gaming,0.1027330377001011,1025.6927826138835,1025.69,664.4,361.29,35.22
O000121,2026-05-09,CU00894,P0036,S005,Website,1,Transfer,1007.31,1469.57,Refrigerators,0.06980052309637742,1366.9932452732567,1366.99,1007.31,359.68,26.31
O000122,2026-01-21,CU02807,P0031,S008,Website,1,Transfer,1486.05,2253.59,Refrigerators,0.025926197426556177,2195.1629807414874,2195.16,1486.05,709.11,32.3
O000123,2026-03-20,CU02280,P0007,S003,Website,1,Transfer,802.5,1173.82,Laptops,0.05248907708789388,1112.2072715326883,1112.21,802.5,309.71,27.85
O000124,2026-06-07,CU04184,P0020,S007,Mobile App,3,Transfer,944.29,1372.63,Smartphones,0.11645503354182435,1212.7803273094858,3638.34,2832.87,805.47,22.14
O000125,2026-04-04,CU02814,P0033,S008,Website,1,Card,1320.48,1847.6,Refrigerators,0.08418243617314167,1692.0645309265033,1692.06,1320.48,371.58,21.96
O000126,2026-01-08,CU01788,P0017,S005,Website,1,Wallet,421.24,656.03,Smartphones,0.02639417269470378,638.7146308870934,638.71,421.24,217.47,34.05
O000127,2026-03-24,CU04733,P0006,S005,Website,3,Cash,562.05,900.7,Laptops,0.11029280424836958,801.3592712134936,2404.08,1686.15,717.93,29.86
O000128,2026-01-03,CU02249,P0020,S007,Website,1,Cash,944.29,1372.63,Smartphones,0.02887340281372707,1332.997501095794,1333.0,944.29,388.71,29.16
O000129,2026-02-24,CU03034,P0042,S002,Physical Store,2,Transfer,1022.85,1323.42,Air Conditioners,0.058024055135500005,1246.6298049525767,2493.26,2045.7,447.56,17.95
O000130,2026-05-23,CU02409,P0063,S003,Website,2,Wallet,263.81,397.5,Audio,0.038814521854121084,382.0712275629869,764.14,527.62,236.52,30.95
O000131,2026-02-05,CU02180,P0041,S009,Website,1,Transfer,1272.84,1644.61,Air Conditioners,0.07957339058021706,1513.7428061178691,1513.74,1272.84,240.9,15.91
O000132,2026-01-06,CU00177,P0072,S007,Physical Store,1,Cash,719.02,915.34,Gaming,0.1098144910205617,814.822403789239,814.82,719.02,95.8,11.76
O000133,2026-05-01,CU03124,P0007,S006,Physical Store,1,Wallet,802.5,1173.82,Laptops,0.10759118488472542,1047.5273153586115,1047.53,802.5,245.03,23.39
O000134,2026-02-11,CU00022,P0071,S001,Website,1,Card,704.19,1088.5,Gaming,0.06562787934127165,1017.0640533370258,1017.06,704.19,312.87,30.76
O000135,2026-02-19,CU00653,P0029,S007,Mobile App,1,Transfer,1329.86,1738.15,TVs,0.041490613181783535,1666.033090698083,1666.03,1329.86,336.17,20.18
O000136,2026-04-22,CU03391,P0067,S005,Website,1,Card,419.36,653.31,Audio,0.04050796960740693,626.845738375785,626.85,419.36,207.49,33.1
O000137,2026-05-26,CU00783,P0016,S006,Physical Store,1,Card,475.65,609.83,Smartphones,0.09378458005874436,552.637349542776,552.64,475.65,76.99,13.93
O000138,2026-02-19,CU00168,P0077,S002,Mobile App,3,Card,280.55,402.77,Gaming,0.07538821566633988,372.4058883760683,1117.22,841.65,275.57,24.67
O000139,2026-01-30,CU01062,P0050,S008,Mobile App,2,Wallet,794.99,1174.43,Air Conditioners,0.04033296532447456,1127.0617555339772,2254.12,1589.98,664.14,29.46
O000140,2026-02-08,CU00873,P0044,S006,Corporate,3,Cash,432.33,658.71,Air Conditioners,0.06665728276642467,614.8021812689284,1844.41,1296.99,547.42,29.68
O000141,2026-04-26,CU01782,P0077,S002,Corporate,2,Card,280.55,402.77,Gaming,0.11724773831417971,355.54612843919784,711.09,561.1,149.99,21.09
O000142,2026-05-20,CU01397,P0031,S008,Mobile App,3,Transfer,1486.05,2253.59,Refrigerators,0.04834367995469403,2144.6431662909013,6433.93,4458.15,1975.78,30.71
O000143,2026-02-28,CU00632,P0067,S001,Corporate,1,Transfer,419.36,653.31,Audio,0.053473969904348675,618.3749207217899,618.37,419.36,199.01,32.18
O000144,2026-03-17,CU01602,P0003,S002,Mobile App,1,Card,718.1,1040.4,Laptops,0.0974868791389716,938.974650943814,938.97,718.1,220.87,23.52
O000145,2026-06-21,CU02882,P0066,S005,Corporate,2,Transfer,302.97,498.93,Audio,0.07452771426644643,461.7458875210419,923.49,605.94,317.55,34.39
O000146,2026-05-12,CU01451,P0077,S006,Website,3,Card,280.55,402.77,Gaming,0.07649674890418094,371.95940444386304,1115.88,841.65,274.23,24.58
O000147,2026-06-13,CU01864,P0075,S005,Corporate,2,Card,552.95,826.11,Gaming,0.03835674342576628,794.4231106885402,1588.85,1105.9,482.95,30.4
O000148,2026-02-17,CU00722,P0007,S002,Physical Store,1,Card,802.5,1173.82,Laptops,0.03022620948619889,1138.33987078091,1138.34,802.5,335.84,29.5
O000149,2026-05-22,CU04536,P0027,S003,Physical Store,3,Card,801.84,1277.44,TVs,0.1344707287893664,1105.6617122153118,3316.99,2405.52,911.47,27.48
O000150,2026-03-22,CU03337,P0007,S004,Website,1,Wallet,802.5,1173.82,Laptops,0.02643577780378782,1142.7891552983576,1142.79,802.5,340.29,29.78
O000151,2026-02-18,CU00243,P0008,S008,Physical Store,1,Cash,785.55,1162.11,Laptops,0.10665901974320706,1038.1604865662216,1038.16,785.55,252.61,24.33
O000152,2026-03-08,CU02649,P0042,S001,Website,1,Cash,1022.85,1323.42,Air Conditioners,0.10448242975606985,1185.1458628122223,1185.15,1022.85,162.3,13.69
O000153,2026-03-18,CU04639,P0026,S006,Mobile App,1,Transfer,1099.51,1883.52,TVs,0.020202549711326696,1845.4680935677218,1845.47,1099.51,745.96,40.42
O000154,2026-05-17,CU04373,P0061,S007,Physical Store,3,Transfer,310.54,395.08,Audio,0.04145931499293205,378.70025383259235,1136.1,931.62,204.48,18.0
O000155,2026-01-21,CU04646,P0020,S009,Physical Store,1,Cash,944.29,1372.63,Smartphones,0.09837558587258138,1237.5967195637186,1237.6,944.29,293.31,23.7
O000156,2026-04-15,CU00403,P0079,S003,Website,2,Cash,647.24,926.57,Gaming,0.08984410370243731,843.3231488324327,1686.65,1294.48,392.17,23.25
O000157,2026-03-13,CU01454,P0079,S003,Website,3,Card,647.24,926.57,Gaming,0.028618601694006235,900.0528622283847,2700.16,1941.72,758.44,28.09
O000158,2026-01-16,CU00997,P0051,S004,Website,1,Card,71.82,88.55,Small Appliances,0.04071616811067163,84.94458331380002,84.94,71.82,13.12,15.45
O000159,2026-05-24,CU04172,P0074,S001,Mobile App,1,Card,262.51,329.93,Gaming,0.06202001230117991,309.4677373414717,309.47,262.51,46.96,15.17
O000160,2026-01-28,CU03151,P0002,S007,Physical Store,1,Wallet,988.97,1601.72,Laptops,0.07675987341393702,1478.772175555429,1478.77,988.97,489.8,33.12
O000161,2026-06-28,CU04414,P0030,S003,Mobile App,2,Card,436.69,718.47,TVs,0.11134040324469639,638.475260480783,1276.95,873.38,403.57,31.6
O000162,2026-03-21,CU03502,P0017,S005,Website,2,Cash,421.24,656.03,Smartphones,0.04186659985900368,628.5642544944978,1257.13,842.48,414.65,32.98
O000163,2026-02-26,CU01187,P0067,S007,Physical Store,1,Card,419.36,653.31,Audio,0.050043560475503165,620.616041505749,620.62,419.36,201.26,32.43
O000164,2026-04-20,CU01382,P0072,S005,Website,1,Transfer,719.02,915.34,Gaming,0.11722564147781041,808.038681329701,808.04,719.02,89.02,11.02
O000165,2026-02-21,CU04425,P0043,S006,Physical Store,1,Transfer,488.48,742.54,Air Conditioners,0.05809468910990297,699.4023695483326,699.4,488.48,210.92,30.16
O000166,2026-06-23,CU01855,P0049,S004,Physical Store,2,Cash,537.47,817.36,Air Conditioners,0.10681397481744877,730.05452954321,1460.11,1074.94,385.17,26.38
O000167,2026-06-15,CU01905,P0004,S001,Physical Store,3,Card,702.13,1200.34,Laptops,0.12260425372105532,1053.1732100884683,3159.52,2106.39,1053.13,33.33
