customer_id,customer_name,segment,region,acquisition_channel
CU00061,Customer 00061,Professionals,Central,Corporate Sales
CU00062,Customer 00062,Gamers,East,Social
CU00063,Customer 00063,Professionals,West,Store
CU00064,Customer 00064,Value Seekers,East,Store
CU00065,Customer 00065,Premium,West,Website
CU00066,Customer 00066,Gamers,West,Corporate Sales
CU00067,Customer 00067,Home Makers,North,Website
CU00068,Customer 00068,Value Seekers,East,Website
CU00069,Customer 00069,Premium,East,Website
CU00070,Customer 00070,Value Seekers,East,Website
CU00071,Customer 00071,Premium,Central,Referral
CU00072,Customer 00072,Home Makers,Central,Corporate Sales
CU00073,Customer 00073,Corporate,East,Referral
CU00074,Customer 00074,Premium,East,Social
CU00075,Customer 00075,Home Makers,Central,Website
CU00076,Customer 00076,Home Makers,North,Social
CU00077,Customer 00077,Premium,North,Website
CU00078,Customer 00078,Value Seekers,East,Social
CU00079,Customer 00079,Corporate,West,Website
CU00080,Customer 00080,Value Seekers,West,Corporate Sales
CU00081,Customer 00081,Premium,Central,Website
CU00082,Customer 00082,Value Seekers,West,Corporate Sales
CU00083,Customer 00083,Premium,West,Corporate Sales
CU00084,Customer 00084,Gamers,East,Store
CU00085,Customer 00085,Home Makers,East,Social
CU00086,Customer 00086,Corporate,North,Website
CU00087,Customer 00087,Corporate,Central,Social
CU00088,Customer 00088,Gamers,West,Website
CU00089,Customer 00089,Home Makers,West,Social
CU00090,Customer 00090,Premium,Central,Corporate Sales
CU00091,Customer 00091,Value Seekers,West,Referral
CU00092,Customer 00092,Value Seekers,East,Website
CU00093,Customer 00093,Corporate,Central,Corporate Sales
CU00094,Customer 00094,Value Seekers,East,Referral
CU00095,Customer 00095,Corporate,Central,Website
CU00096,Customer 00096,Premium,West,Store
CU00097,Customer 00097,Corporate,North,Social
CU00098,Customer 00098,Home Makers,Central,Store
CU00099,Customer 00099,Value Seekers,West,Referral
CU00100,Customer 00100,Professionals,North,Store
CU00101,Customer 00101,Value Seekers,Central,Corporate Sales
CU00102,Customer 00102,Gamers,East,Corporate Sales
CU00103,Customer 00103,Value Seekers,West,Social
CU00104,Customer 00104,Professionals,Central,Store
CU00105,Customer 00105,Professionals,East,Store
CU00106,Customer 00106,Home Makers,North,Store
CU00107,Customer 00107,Gamers,East,Social
CU00108,Customer 00108,Value Seekers,West,Social
CU00109,Customer 00109,Value Seekers,West,Website
CU00110,Customer 00110,Premium,East,Store
CU00111,Customer 00111,Value Seekers,West,Website
CU00112,Customer 00112,Premium,West,Social
CU00113,Customer 00113,Home Makers,West,Corporate Sales
CU00114,Customer 00114,Home Makers,West,Store
CU00115,Customer 00115,Home Makers,East,Store
CU00116,Customer 00116,Corporate,North,Corporate Sales
CU00117,Customer 00117,Home Makers,West,Social
CU00118,Customer 00118,Corporate,West,Referral
CU00119,Customer 00119,Gamers,West,Website
CU00120,Customer 00120,Professionals,North,Website
CU00121,Customer 00121,Professionals,East,Website
CU00122,Customer 00122,Home Makers,Central,Social
CU00123,Customer 00123,Value Seekers,North,Website
CU00124,Customer 00124,Premium,North,Website
CU00125,Customer 00125,Professionals,North,Website
CU00126,Customer 00126,Home Makers,West,Referral
CU00127,Customer 00127,Home Makers,East,Website
CU00128,Customer 00128,Value Seekers,East,Website
CU00129,Customer 00129,Value Seekers,Central,Website
CU00130,Customer 00130,Professionals,Central,Store
CU00131,Customer 00131,Professionals,West,Referral
CU00132,Customer 00132,Home Makers,East,Referral
CU00133,Customer 00133,Home Makers,East,Website
CU00134,Customer 00134,Professionals,East,Corporate Sales
CU00135,Customer 00135,Home Makers,West,Website
CU00136,Customer 00136,Home Makers,West,Website
CU00137,Customer 00137,Professionals,West,Website
CU00138,Customer 00138,Home Makers,West,Referral
CU00139,Customer 00139,Premium,Central,Social
CU00140,Customer 00140,Value Seekers,East,Social
CU00141,Customer 00141,Premium,West,Social
CU00142,Customer 00142,Value Seekers,West,Website
CU00143,Customer 00143,Professionals,West,Store
CU00144,Customer 00144,Gamers,West,Corporate Sales
CU00145,Customer 00145,Gamers,West,Website
CU00146,Customer 00146,Professionals,West,Website
CU00147,Customer 00147,Professionals,West,Website
CU00148,Customer 00148,Value Seekers,North,Social
CU00149,Customer 00149,Home Makers,Central,Website
CU00150,Customer 00150,Home Makers,Central,Store
CU00151,Customer 00151,Value Seekers,West,Website
CU00152,Customer 00152,Value Seekers,Central,Social
CU00153,Customer 00153,Gamers,West,Store
CU00154,Customer 00154,Professionals,West,Social
CU00155,Customer 00155,Home Makers,West,Website
CU00156,Customer 00156,Gamers,West,Social
CU00157,Customer 00157,Professionals,West,Social
CU00158,Customer 00158,Premium,West,Website
CU00159,Customer 00159,Premium,Central,Referral
CU00160,Customer 00160,Value Seekers,West,Store
CU00161,Customer 00161,Value Seekers,West,Social
CU00162,Customer 00162,Home Makers,West,Corporate Sales
CU00163,Customer 00163,Value Seekers,Central,Website
CU00164,Customer 00164,Value Seekers,Central,Website
CU00165,Customer 00165,Premium,East,Social
CU00166,Customer 00166,Value Seekers,North,Store
CU00167,Customer 00167,Professionals,North,Website
CU00168,Customer 00168,Value Seekers,East,Social
CU00169,Customer 00169,Home Makers,Central,Referral
CU00170,Customer 00170,Value Seekers,West,Referral
CU00171,Customer 00171,Home Makers,West,Store
CU00172,Customer 00172,Home Makers,West,Corporate Sales
CU00173,Customer 00173,Home Makers,West,Corporate Sales
CU00174,Customer 00174,Gamers,North,Corporate Sales
CU00175,Customer 00175,Gamers,West,Website
CU00176,Customer 00176,Value Seekers,East,Social
CU00177,Customer 00177,Value Seekers,East,Website
CU00178,Customer 00178,Professionals,West,Store
CU00179,Customer 00179,Premium,West,Store
CU00180,Customer 00180,Value Seekers,West,Store
CU00181,Customer 00181,Premium,Central,Website
CU00182,Customer 00182,Home Makers,East,Website
CU00183,Customer 00183,Professionals,East,Store
CU00184,Customer 00184,Value Seekers,East,Social
CU00185,Customer 00185,Professionals,West,Website
CU00186,Customer 00186,Corporate,West,Referral
CU00187,Customer 00187,Home Makers,Central,Website
CU00188,Customer 00188,Gamers,West,Store
CU00189,Customer 00189,Premium,Central,Corporate Sales
CU00190,Customer 00190,Gamers,East,Corporate Sales
CU00191,Customer 00191,Value Seekers,North,Social
CU00192,Customer 00192,Gamers,West,Store
CU00193,Customer 00193,Corporate,Central,Social
CU00194,Customer 00194,Premium,Central,Store
CU00195,Customer 00195,Professionals,Central,Store
CU00196,Customer 00196,Home Makers,West,Referral
CU00197,Customer 00197,Premium,West,Store
CU00198,Customer 00198,Premium,West,Referral
CU00199,Customer 00199,Gamers,Central,Referral
CU00200,Customer 00200,Home Makers,East,Social
CU00201,Customer 00201,Professionals,West,Website
CU00202,Customer 00202,Professionals,West,Referral
CU00203,Customer 00203,Corporate,West,Social
CU00204,Customer 00204,Gamers,North,Store
CU00205,Customer 00205,Professionals,Central,Website
CU00206,Customer 00206,Home Makers,North,Corporate Sales
CU00207,Customer 00207,Home Makers,West,Website
CU00208,Customer 00208,Value Seekers,West,Corporate Sales
CU00209,Customer 00209,Professionals,North,Website
CU00210,Customer 00210,Home Makers,West,Website
CU00211,Customer 00211,Value Seekers,West,Social
CU00212,Customer 00212,Home Makers,West,Social
CU00213,Customer 00213,Professionals,North,Store
CU00214,Customer 00214,Corporate,West,Website
CU00215,Customer 00215,Value Seekers,West,Website
CU00216,Customer 00216,Professionals,East,Store
CU00217,Customer 00217,Premium,West,Website
CU00218,Customer 00218,Value Seekers,North,Website
CU00219,Customer 00219,Value Seekers,North,Store
CU00220,Customer 00220,Professionals,North,Website
CU00221,Customer 00221,Value Seekers,Central,Store
CU00222,Customer 00222,Home Makers,East,Website
CU00223,Customer 00223,Professionals,Central,Website
CU00224,Customer 00224,Premium,West,Website
CU00225,Customer 00225,Professionals,West,Social
CU00226,Customer 00226,Value Seekers,Central,Referral
CU00227,Customer 00227,Professionals,West,Social
CU00228,Customer 00228,Professionals,East,Referral
CU00229,Customer 00229,Gamers,West,Website
CU00230,Customer 00230,Corporate,East,Website
CU00231,Customer 00231,Value Seekers,West,Corporate Sales
CU00232,Customer 00232,Value Seekers,West,Website
CU00233,Customer 00233,Professionals,West,Store
CU00234,Customer 00234,Professionals,North,Store
CU00235,Customer 00235,Corporate,West,Website
CU00236,Customer 00236,Professionals,North,Corporate Sales
CU00237,Customer 00237,Premium,West,Website
CU00238,Customer 00238,Gamers,East,Store
CU00239,Customer 00239,Professionals,North,Website
CU00240,Customer 00240,Corporate,Central,Social
CU00241,Customer 00241,Gamers,East,Website
CU00242,Customer 00242,Corporate,West,Referral
CU00243,Customer 00243,Home Makers,North,Website
CU00244,Customer 00244,Value Seekers,North,Store
CU00245,Customer 00245,Professionals,West,Website
CU00246,Customer 00246,Home Makers,East,Website
CU00247,Customer 00247,Gamers,West,Store
CU00248,Customer 00248,Corporate,East,Website
CU00249,Customer 00249,Premium,West,Social
CU00250,Customer 00250,Premium,West,Social
CU00251,Customer 00251,Home Makers,East,Website
CU00252,Customer 00252,Premium,East,Social
CU00253,Customer 00253,Value Seekers,West,Website
CU00254,Customer 00254,Value Seekers,East,Store
CU00255,Customer 00255,Professionals,West,Referral
CU00256,Customer 00256,Premium,Central,Website
CU00257,Customer 00257,Corporate,West,Website
CU00258,Customer 00258,Gamers,Central,Store
CU00259,Customer 00259,Value Seekers,East,Store
CU00260,Customer 00260,Value Seekers,West,Social
CU00261,Customer 00261,Professionals,Central,Corporate Sales
CU00262,Customer 00262,Premium,East,Corporate Sales
CU00263,Customer 00263,Professionals,West,Corporate Sales
CU00264,Customer 00264,Premium,East,Website
CU00265,Customer 00265,Corporate,Central,Corporate Sales
CU00266,Customer 00266,Home Makers,Central,Store
CU00267,Customer 00267,Professionals,Central,Website
CU00268,Customer 00268,Gamers,West,Website
CU00269,Customer 00269,Premium,East,Referral
CU00270,Customer 00270,Value Seekers,North,Referral
CU00271,Customer 00271,Gamers,East,Referral
CU00272,Customer 00272,Gamers,Central,Store
CU00273,Customer 00273,Professionals,North,Store
CU00274,Customer 00274,Premium,Central,Social
CU00275,Customer 00275,Corporate,East,Corporate Sales
CU00276,Customer 00276,Home Makers,East,Referral
CU00277,Customer 00277,Home Makers,East,Store
CU00278,Customer 00278,Corporate,East,Referral
CU00279,Customer 00279,Home Makers,East,Website
CU00280,Customer 00280,Premium,West,Website
CU00281,Customer 00281,Professionals,West,Website
CU00282,Customer 00282,Premium,Central,Social
CU00283,Customer 00283,Home Makers,East,Website
CU00284,Customer 00284,Corporate,East,Website
CU00285,Customer 00285,Home Makers,Central,Corporate Sales
CU00286,Customer 00286,Home Makers,East,Website
CU00287,Customer 00287,Corporate,West,Corporate Sales
CU00288,Customer 00288,Value Seekers,East,Social
CU00289,Customer 00289,Professionals,North,Website
CU00290,Customer 00290,Professionals,East,Referral
CU00291,Customer 00291,Premium,Central,Corporate Sales
CU00292,Customer 00292,Corporate,Central,Website
CU00293,Customer 00293,Home Makers,East,Store
CU00294,Customer 00294,Professionals,Central,Website
CU00295,Customer 00295,Professionals,West,Social
CU00296,Customer 00296,Gamers,North,Store
CU00297,Customer 00297,Professionals,North,Corporate Sales
CU00298,Customer 00298,Corporate,Central,Store
CU00299,Customer 00299,Value Seekers,West,Website
CU00300,Customer 00300,Home Makers,West,Website
CU00301,Customer 00301,Value Seekers,West,Website
CU00302,Customer 00302,Professionals,East,Website
CU00303,Customer 00303,Value Seekers,West,Social
CU00304,Customer 00304,Gamers,Central,Referral
CU00305,Customer 00305,Value Seekers,West,Website
CU00306,Customer 00306,Value Seekers,East,Store
CU00307,Customer 00307,Value Seekers,Central,Store
CU00308,Customer 00308,Value Seekers,East,Store
CU00309,Customer 00309,Gamers,East,Website
CU00310,Customer 00310,Value Seekers,Central,Website
CU00311,Customer 00311,Value Seekers,North,Referral
CU00312,Customer 00312,Value Seekers,North,Store
CU00313,Customer 00313,Value Seekers,West,Website
CU00314,Customer 00314,Professionals,East,Corporate Sales
CU00315,Customer 00315,Gamers,West,Store
CU00316,Customer 00316,Gamers,East,Website
CU00317,Customer 00317,Value Seekers,West,Corporate Sales
CU00318,Customer 00318,Home Makers,East,Corporate Sales
CU00319,Customer 00319,Premium,Central,Store
CU00320,Customer 00320,Premium,West,Store
CU00321,Customer 00321,Premium,West,Referral
CU00322,Customer 00322,Gamers,North,Store
CU00323,Customer 00323,Corporate,Central,Store
CU00324,Customer 00324,Professionals,East,Website
CU00325,Customer 00325,Premium,West,Social
CU00326,Customer 00326,Value Seekers,East,Social
CU00327,Customer 00327,Professionals,Central,Social
CU00328,Customer 00328,Home Makers,North,Store
CU00329,Customer 00329,Value Seekers,West,Website
CU00330,Customer 00330,Value Seekers,East,Website
CU00331,Customer 00331,Corporate,North,Social
CU00332,Customer 00332,Corporate,West,Store
CU00333,Customer 00333,Home Makers,West,Corporate Sales
CU00334,Customer 00334,Home Makers,Central,Website
CU00335,Customer 00335,Professionals,North,Store
CU00336,Customer 00336,Home Makers,Central,Social
CU00337,Customer 00337,Corporate,North,Store
CU00338,Customer 00338,Value Seekers,East,Store
CU00339,Customer 00339,Value Seekers,East,Website
CU00340,Customer 00340,Premium,Central,Store
CU00341,Customer 00341,Value Seekers,West,Website
CU00342,Customer 00342,Professionals,East,Social
CU00343,Customer 00343,Professionals,West,Website
CU00344,Customer 00344,Gamers,West,Store
CU00345,Customer 00345,Professionals,West,Website
CU00346,Customer 00346,Premium,West,Social
CU00347,Customer 00347,Gamers,West,Store
CU00348,Customer 00348,Value Seekers,East,Website
CU00349,Customer 00349,Home Makers,North,Website
CU00350,Customer 00350,Corporate,North,Social
CU00351,Customer 00351,Gamers,East,Social
CU00352,Customer 00352,Premium,West,Social
CU00353,Customer 00353,Premium,West,Website
CU00354,Customer 00354,Premium,West,Website
CU00355,Customer 00355,Gamers,East,Store
CU00356,Customer 00356,Professionals,North,Website
CU00357,Customer 00357,Gamers,East,Website
CU00358,Customer 00358,Corporate,North,Social
CU00359,Customer 00359,Value Seekers,Central,Store
CU00360,Customer 00360,Value Seekers,West,Store
CU00361,Customer 00361,Premium,Central,Social
CU00362,Customer 00362,Value Seekers,West,Store
CU00363,Customer 00363,Gamers,East,Website
CU00364,Customer 00364,Premium,West,Website
CU00365,Customer 00365,Value Seekers,West,Corporate Sales
CU00366,Customer 00366,Home Makers,North,Store
CU00367,Customer 00367,Value Seekers,West,Social
CU00368,Customer 00368,Value Seekers,West,Corporate Sales
CU00369,Customer 00369,Corporate,East,Website
CU00370,Customer 00370,Value Seekers,North,Website
CU00371,Customer 00371,Professionals,West,Store
CU00372,Customer 00372,Value Seekers,East,Social
CU00373,Customer 00373,Home Makers,West,Corporate Sales
CU00374,Customer 00374,Premium,Central,Social
CU00375,Customer 00375,Home Makers,East,Social
CU00376,Customer 00376,Value Seekers,Central,Social
CU00377,Customer 00377,Professionals,West,Corporate Sales
CU00378,Customer 00378,Professionals,East,Store
CU00379,Customer 00379,Value Seekers,North,Store
CU00380,Customer 00380,Corporate,North,Website
CU00381,Customer 00381,Corporate,North,Store
CU00382,Customer 00382,Home Makers,West,Store
CU00383,Customer 00383,Home Makers,West,Referral
CU00384,Customer 00384,Gamers,North,Referral
CU00385,Customer 00385,Corporate,West,Store
CU00386,Customer 00386,Home Makers,East,Website
CU00387,Customer 00387,Corporate,West,Website
CU00388,Customer 00388,Premium,North,Social
CU00389,Customer 00389,Home Makers,Central,Social
CU00390,Customer 00390,Professionals,East,Store
CU00391,Customer 00391,Professionals,North,Website
CU00392,Customer 00392,Value Seekers,East,Social
CU00393,Customer 00393,Value Seekers,Central,Social
CU00394,Customer 00394,Value Seekers,West,Website
CU00395,Customer 00395,Professionals,North,Social
CU00396,Customer 00396,Corporate,North,Website
CU00397,Customer 00397,Home Makers,Central,Referral
CU00398,Customer 00398,Home Makers,North,Website
CU00399,Customer 00399,Corporate,Central,Website
CU00400,Customer 00400,Corporate,East,Store
CU00401,Customer 00401,Home Makers,West,Social
CU00402,Customer 00402,Value Seekers,North,Website
CU00403,Customer 00403,Professionals,East,Website
CU00404,Customer 00404,Value Seekers,Central,Website
CU00405,Customer 00405,Value Seekers,West,Store
CU00406,Customer 00406,Professionals,East,Store
CU00407,Customer 00407,Corporate,East,Social
CU00408,Customer 00408,Gamers,Central,Social
CU00409,Customer 00409,Premium,Central,Store
CU00410,Customer 00410,Value Seekers,West,Store
CU00411,Customer 00411,Home Makers,East,Website
CU00412,Customer 00412,Value Seekers,Central,Website
CU00413,Customer 00413,Corporate,West,Store
CU00414,Customer 00414,Value Seekers,West,Store
CU00415,Customer 00415,Value Seekers,West,Referral
CU00416,Customer 00416,Value Seekers,Central,Store
CU00417,Customer 00417,Value Seekers,West,Store
CU00418,Customer 00418,Professionals,West,Website
CU00419,Customer 00419,Home Makers,West,Referral
CU00420,Customer 00420,Value Seekers,West,Social
CU00421,Customer 00421,Professionals,West,Website
CU00422,Customer 00422,Premium,East,Store
CU00423,Customer 00423,Gamers,West,Referral
CU00424,Customer 00424,Value Seekers,West,Social
CU00425,Customer 00425,Premium,West,Referral
CU00426,Customer 00426,Home Makers,West,Social
CU00427,Customer 00427,Gamers,East,Store
CU00428,Customer 00428,Value Seekers,Central,Website
CU00429,Customer 00429,Professionals,North,Store
CU00430,Customer 00430,Value Seekers,West,Corporate Sales
CU00431,Customer 00431,Premium,Central,Referral
CU00432,Customer 00432,Premium,West,Website
CU00433,Customer 00433,Professionals,West,Store
CU00434,Customer 00434,Gamers,West,Store
CU00435,Customer 00435,Value Seekers,West,Referral
CU00436,Customer 00436,Professionals,North,Store
CU00437,Customer 00437,Professionals,West,Store
CU00438,Customer 00438,Premium,West,Website
CU00439,Customer 00439,Corporate,West,Store
CU00440,Customer 00440,Gamers,North,Store
CU00441,Customer 00441,Corporate,East,Store
CU00442,Customer 00442,Value Seekers,West,Website
CU00443,Customer 00443,Gamers,West,Store
CU00444,Customer 00444,Corporate,West,Website
CU00445,Customer 00445,Value Seekers,West,Store
CU00446,Customer 00446,Home Makers,East,Website
CU00447,Customer 00447,Gamers,West,Social
CU00448,Customer 00448,Professionals,East,Store
CU00449,Customer 00449,Professionals,North,Website
CU00450,Customer 00450,Value Seekers,East,Social
CU00451,Customer 00451,Professionals,West,Social
CU00452,Customer 00452,Home Makers,Central,Website
CU00453,Customer 00453,Value Seekers,West,Social
CU00454,Customer 00454,Value Seekers,East,Corporate Sales
CU00455,Customer 00455,Professionals,North,Store
CU00456,Customer 00456,Gamers,West,Website
CU00457,Customer 00457,Premium,Central,Website
CU00458,Customer 00458,Home Makers,West,Referral
CU00459,Customer 00459,Premium,West,Website
CU00460,Customer 00460,Value Seekers,West,Social
CU00461,Customer 00461,Value Seekers,East,Social
CU00462,Customer 00462,Home Makers,West,Store
CU00463,Customer 00463,Corporate,East,Social
CU00464,Customer 00464,Value Seekers,West,Website
CU00465,Customer 00465,Gamers,Central,Website
CU00466,Customer 00466,Value Seekers,West,Social
CU00467,Customer 00467,Premium,West,Store
CU00468,Customer 00468,Home Makers,East,Store
CU00469,Customer 00469,Corporate,West,Referral
CU00470,Customer 00470,Professionals,Central,Corporate Sales
CU00471,Customer 00471,Gamers,Central,Social
CU00472,Customer 00472,Gamers,North,Store
CU00473,Customer 00473,Professionals,Central,Store
CU00474,Customer 00474,Value Seekers,North,Referral
CU00475,Customer 00475,Professionals,West,Website
CU00476,Customer 00476,Corporate,West,Referral
CU00477,Customer 00477,Home Makers,West,Store
CU00478,Customer 00478,Home Makers,Central,Social
CU00479,Customer 00479,Corporate,Central,Website
CU00480,Customer 00480,Corporate,North,Store
CU00481,Customer 00481,Home Makers,Central,Store
CU00482,Customer 00482,Value Seekers,East,Referral
CU00483,Customer 00483,Premium,West,Website
CU00484,Customer 00484,Value Seekers,West,Corporate Sales
CU00485,Customer 00485,Value Seekers,Central,Website
CU00486,Customer 00486,Value Seekers,Central,Social
CU00487,Customer 00487,Gamers,East,Website
CU00488,Customer 00488,Home Makers,West,Website
CU00489,Customer 00489,Home Makers,North,Website
CU00490,Customer 00490,Professionals,Central,Social
CU00491,Customer 00491,Corporate,West,Referral
CU00492,Customer 00492,Home Makers,West,Website
CU00493,Customer 00493,Value Seekers,West,Store
CU00494,Customer 00494,Value Seekers,North,Website
CU00495,Customer 00495,Value Seekers,West,Website
CU00496,Customer 00496,Corporate,North,Store
CU00497,Customer 00497,Corporate,West,Website
CU00498,Customer 00498,Professionals,West,Website
CU00499,Customer 00499,Value Seekers,North,Social
CU00500,Customer 00500,Corporate,Central,Store
CU00501,Customer 00501,Professionals,East,Social
CU00502,Customer 00502,Home Makers,North,Corporate Sales
CU00503,Customer 00503,Home Makers,North,Referral
CU00504,Customer 00504,Home Makers,Central,Store
CU00505,Customer 00505,Value Seekers,North,Referral
CU00506,Customer 00506,Home Makers,North,Website
CU00507,Customer 00507,Value Seekers,North,Social
CU00508,Customer 00508,Professionals,North,Website
CU00509,Customer 00509,Corporate,Central,Corporate Sales
CU00510,Customer 00510,Home Makers,North,Social
CU00511,Customer 00511,Home Makers,Central,Website
CU00512,Customer 00512,Home Makers,North,Referral
CU00513,Customer 00513,Value Seekers,West,Referral
CU00514,Customer 00514,Home Makers,West,Store
CU00515,Customer 00515,Value Seekers,Central,Store
CU00516,Customer 00516,Professionals,East,Social
CU00517,Customer 00517,Professionals,Central,Website
CU00518,Customer 00518,Corporate,West,Store
CU00519,Customer 00519,Value Seekers,Central,Store
CU00520,Customer 00520,Gamers,North,Social
CU00521,Customer 00521,Professionals,East,Social
CU00522,Customer 00522,Value Seekers,North,Website
CU00523,Customer 00523,Value Seekers,North,Website
CU00524,Customer 00524,Premium,Central,Store
CU00525,Customer 00525,Home Makers,West,Referral
CU00526,Customer 00526,Value Seekers,East,Website
CU00527,Customer 00527,Professionals,North,Store
CU00528,Customer 00528,Value Seekers,West,Website
CU00529,Customer 00529,Premium,Central,Website
CU00530,Customer 00530,Value Seekers,East,Referral
CU00531,Customer 00531,Professionals,North,Store
CU00532,Customer 00532,Value Seekers,East,Social
CU00533,Customer 00533,Premium,Central,Store
CU00534,Customer 00534,Professionals,Central,Store
CU00535,Customer 00535,Gamers,East,Store
CU00536,Customer 00536,Value Seekers,North,Referral
CU00537,Customer 00537,Corporate,West,Referral
CU00538,Customer 00538,Home Makers,West,Store
CU00539,Customer 00539,Corporate,West,Website
CU00540,Customer 00540,Professionals,Central,Store
CU00541,Customer 00541,Professionals,Central,Store
CU00542,Customer 00542,Value Seekers,Central,Website
CU00543,Customer 00543,Value Seekers,West,Store
CU00544,Customer 00544,Value Seekers,East,Store
CU00545,Customer 00545,Professionals,West,Corporate Sales
CU00546,Customer 00546,Corporate,North,Website
CU00547,Customer 00547,Professionals,East,Store
CU00548,Customer 00548,Professionals,West,Store
CU00549,Customer 00549,Value Seekers,West,Social
CU00550,Customer 00550,Home Makers,West,Social
CU00551,Customer 00551,Value Seekers,Central,Store
CU00552,Customer 00552,Value Seekers,North,Social
CU00553,Customer 00553,Premium,West,Store
CU00554,Customer 00554,Corporate,North,Referral
CU00555,Customer 00555,Value Seekers,West,Social
CU00556,Customer 00556,Value Seekers,East,Website
CU00557,Customer 00557,Home Makers,East,Social
CU00558,Customer 00558,Premium,East,Website
CU00559,Customer 00559,Value Seekers,West,Corporate Sales
CU00560,Customer 00560,Home Makers,West,Website
CU00561,Customer 00561,Professionals,Central,Corporate Sales
CU00562,Customer 00562,Home Makers,West,Store
CU00563,Customer 00563,Value Seekers,West,Referral
CU00564,Customer 00564,Home Makers,East,Website
CU00565,Customer 00565,Gamers,West,Store
CU00566,Customer 00566,Premium,West,Social
CU00567,Customer 00567,Value Seekers,North,Social
CU00568,Customer 00568,Gamers,West,Store
CU00569,Customer 00569,Value Seekers,Central,Website
CU00570,Customer 00570,Value Seekers,West,Website
CU00571,Customer 00571,Premium,West,Store
CU00572,Customer 00572,Value Seekers,East,Social
CU00573,Customer 00573,Home Makers,North,Referral
CU00574,Customer 00574,Home Makers,North,Website
CU00575,Customer 00575,Gamers,East,Corporate Sales
CU00576,Customer 00576,Corporate,East,Social
CU00577,Customer 00577,Gamers,East,Website
CU00578,Customer 00578,Home Makers,Central,Referral
CU00579,Customer 00579,Gamers,West,Website
CU00580,Customer 00580,Home Makers,West,Website
CU00581,Customer 00581,Premium,Central,Website
CU00582,Customer 00582,Home Makers,West,Corporate Sales
CU00583,Customer 00583,Professionals,West,Store
CU00584,Customer 00584,Value Seekers,North,Store
CU00585,Customer 00585,Home Makers,West,Website
CU00586,Customer 00586,Premium,East,Social
CU00587,Customer 00587,Home Makers,East,Store
CU00588,Customer 00588,Professionals,East,Website
CU00589,Customer 00589,Value Seekers,East,Corporate Sales
CU00590,Customer 00590,Premium,North,Website
CU00591,Customer 00591,Professionals,West,Corporate Sales
CU00592,Customer 00592,Professionals,West,Store
CU00593,Customer 00593,Home Makers,East,Website
CU00594,Customer 00594,Home Makers,North,Website
CU00595,Customer 00595,Corporate,North,Social
