return_id,order_id,return_date,product_id,quantity,return_reason,refund_amount
R000052,O000851,2026-07-22,P0031,2,Changed Mind,4227.47
R000053,O000864,2026-06-17,P0064,2,Wrong Item,254.89
R000054,O000887,2026-02-03,P0061,1,Defective,363.71
R000055,O000892,2026-05-07,P0042,2,Defective,2464.51
R000056,O000907,2026-07-06,P0064,2,Defective,250.94
R000057,O000985,2026-03-07,P0054,2,Changed Mind,872.23
R000058,O000994,2026-04-08,P0072,3,Wrong Item,2529.38
R000059,O000998,2026-04-15,P0007,3,Defective,3245.96
R000060,O001013,2026-02-23,P0003,2,Defective,1878.23
R000061,O001052,2026-05-22,P0053,1,Not as Expected,116.69
R000062,O001073,2026-04-22,P0022,1,Wrong Item,1826.42
R000063,O001079,2026-04-29,P0044,2,Wrong Item,1279.31
R000064,O001083,2026-05-24,P0042,2,Not as Expected,2420.6
R000065,O001103,2026-04-13,P0055,1,Changed Mind,176.38
R000066,O001105,2026-02-05,P0051,1,Wrong Item,82.06
R000067,O001147,2026-07-12,P0017,2,Defective,1085.65
R000068,O001149,2026-06-21,P0012,5,Defective,4436.2
R000069,O001165,2026-04-17,P0037,1,Changed Mind,936.61
R000070,O001176,2026-01-19,P0025,1,Not as Expected,1421.91
R000071,O001183,2026-04-08,P0018,1,Changed Mind,1000.18
R000072,O001205,2026-03-21,P0055,3,Not as Expected,509.08
R000073,O001228,2026-01-15,P0019,1,Changed Mind,642.83
R000074,O001240,2026-01-24,P0071,1,Defective,1047.6
R000075,O001296,2026-06-14,P0057,3,Defective,1334.75
R000076,O001323,2026-06-30,P0053,3,Defective,353.22
R000077,O001326,2026-07-08,P0029,2,Not as Expected,3081.84
R000078,O001341,2026-07-02,P0058,2,Wrong Item,404.15
R000079,O001355,2026-05-02,P0008,1,Wrong Item,1061.59
R000080,O001398,2026-05-03,P0062,1,Not as Expected,249.38
R000081,O001431,2026-06-27,P0046,2,Not as Expected,943.66
R000082,O001448,2026-04-15,P0058,1,Defective,209.6
R000083,O001459,2026-01-27,P0026,1,Defective,1829.77
R000084,O001461,2026-06-30,P0030,2,Not as Expected,1186.09
R000085,O001479,2026-04-11,P0029,1,Wrong Item,1602.65
R000086,O001485,2026-04-02,P0061,1,Damaged,356.58
R000087,O001492,2026-06-17,P0034,2,Not as Expected,2466.0
R000088,O001499,2026-06-03,P0056,2,Defective,668.63
R000089,O001521,2026-05-16,P0025,1,Not as Expected,1479.15
R000090,O001524,2026-04-12,P0057,2,Damaged,927.55
R000091,O001525,2026-03-14,P0053,1,Changed Mind,119.56
R000092,O001540,2026-02-04,P0063,2,Defective,752.53
R000093,O001541,2026-02-13,P0042,1,Changed Mind,1289.19
R000094,O001570,2026-01-21,P0039,3,Wrong Item,3804.33
R000095,O001579,2026-01-31,P0046,3,Wrong Item,1446.37
R000096,O001580,2026-06-30,P0080,2,Not as Expected,771.29
R000097,O001592,2026-05-17,P0054,1,Not as Expected,473.94
R000098,O001598,2026-02-11,P0023,1,Defective,1021.99
R000099,O001616,2026-03-21,P0062,1,Changed Mind,253.19
R000100,O001646,2026-07-19,P0070,2,Damaged,260.17
R000101,O001653,2026-05-13,P0025,1,Defective,1506.9
R000102,O001666,2026-02-06,P0065,1,Changed Mind,310.7
R000103,O001674,2026-02-07,P0008,3,Defective,3159.57
R000104,O001685,2026-01-20,P0001,1,Not as Expected,1176.18
R000105,O001700,2026-07-05,P0018,2,Wrong Item,1892.63
R000106,O001719,2026-05-04,P0074,1,Changed Mind,311.25
R000107,O001756,2026-02-23,P0059,1,Not as Expected,199.45
R000108,O001784,2026-05-23,P0069,2,Changed Mind,724.1
R000109,O001785,2026-04-24,P0024,1,Defective,1861.27
R000110,O001796,2026-01-31,P0074,3,Not as Expected,932.73
R000111,O001805,2026-02-09,P0024,3,Wrong Item,5444.71
R000112,O001825,2026-01-30,P0015,1,Defective,633.15
R000113,O001833,2026-05-18,P0070,2,Not as Expected,260.46
R000114,O001834,2026-04-07,P0061,1,Damaged,359.49
R000115,O001840,2026-02-04,P0019,1,Defective,622.57
R000116,O001872,2026-06-11,P0017,2,Wrong Item,1196.28
R000117,O001879,2026-04-18,P0040,3,Defective,6551.52
R000118,O001885,2026-03-25,P0069,1,Defective,359.46
R000119,O001909,2026-05-15,P0078,2,Defective,1270.33
R000120,O001943,2026-07-03,P0064,2,Damaged,264.48
R000121,O001944,2026-06-17,P0026,5,Wrong Item,7770.43
R000122,O002011,2026-04-19,P0060,1,Defective,229.02
R000123,O002048,2026-03-22,P0056,2,Damaged,671.39
R000124,O002068,2026-06-04,P0061,2,Damaged,693.35
R000125,O002126,2026-02-22,P0073,3,Not as Expected,1835.83
R000126,O002159,2026-04-02,P0064,1,Defective,128.23
R000127,O002178,2026-06-06,P0064,1,Changed Mind,129.93
R000128,O002199,2026-05-07,P0017,3,Damaged,1759.55
R000129,O002201,2026-04-30,P0010,1,Not as Expected,1182.19
R000130,O002205,2026-05-30,P0016,2,Damaged,1182.54
R000131,O002213,2026-07-11,P0053,3,Changed Mind,337.49
R000132,O002221,2026-04-03,P0078,3,Damaged,1887.48
R000133,O002231,2026-02-01,P0055,1,Damaged,165.07
R000134,O002239,2026-03-03,P0058,1,Wrong Item,205.66
R000135,O002269,2026-05-25,P0031,3,Not as Expected,5900.07
R000136,O002274,2026-05-01,P0063,1,Not as Expected,381.4
R000137,O002278,2026-04-02,P0058,2,Not as Expected,396.84
R000138,O002290,2026-04-19,P0026,1,Wrong Item,1806.26
R000139,O002296,2026-06-19,P0022,2,Wrong Item,3620.22
R000140,O002313,2026-02-26,P0019,1,Not as Expected,667.52
R000141,O002322,2026-05-28,P0058,3,Changed Mind,598.35
R000142,O002326,2026-03-30,P0026,2,Not as Expected,3480.08
R000143,O002340,2026-04-08,P0037,1,Changed Mind,976.79
R000144,O002378,2026-03-12,P0011,1,Changed Mind,1323.76
R000145,O002385,2026-06-29,P0015,2,Wrong Item,1264.41
R000146,O002393,2026-01-20,P0069,1,Not as Expected,384.1
R000147,O002426,2026-02-19,P0016,1,Damaged,584.58
R000148,O002466,2026-05-07,P0032,2,Defective,1448.16
R000149,O002472,2026-01-16,P0038,3,Wrong Item,4483.32
R000150,O002477,2026-03-31,P0008,3,Changed Mind,3160.87
R000151,O002479,2026-03-19,P0027,1,Damaged,1242.16
R000152,O002501,2026-01-11,P0036,1,Changed Mind,1402.98
R000153,O002509,2026-04-06,P0031,2,Damaged,4221.01
R000154,O002516,2026-02-14,P0072,1,Defective,816.31
R000155,O002525,2026-03-02,P0032,1,Damaged,740.89
R000156,O002541,2026-03-24,P0059,1,Changed Mind,206.86
R000157,O002577,2026-02-18,P0063,1,Damaged,387.04
R000158,O002584,2026-04-03,P0063,1,Not as Expected,362.77
R000159,O002592,2026-02-11,P0039,1,Not as Expected,1392.09
R000160,O002608,2026-05-22,P0035,2,Not as Expected,3146.07
R000161,O002632,2026-01-12,P0050,3,Changed Mind,3262.71
R000162,O002635,2026-05-10,P0061,1,Damaged,370.6
R000163,O002642,2026-02-03,P0057,2,Changed Mind,885.91
R000164,O002655,2026-03-17,P0011,2,Defective,2497.54
R000165,O002656,2026-03-22,P0001,1,Damaged,1124.75
R000166,O002673,2026-07-02,P0058,2,Defective,407.29
R000167,O002694,2026-03-02,P0043,2,Defective,1399.78
R000168,O002717,2026-06-24,P0030,1,Changed Mind,634.52
R000169,O002725,2026-06-11,P0063,1,Not as Expected,380.57
R000170,O002732,2026-02-26,P0023,1,Defective,1061.86
R000171,O002772,2026-03-05,P0057,2,Damaged,894.32
R000172,O002783,2026-02-13,P0067,3,Damaged,1899.24
R000173,O002794,2026-03-16,P0061,1,Defective,349.5
R000174,O002796,2026-06-07,P0066,2,Wrong Item,929.72
R000175,O002835,2026-05-07,P0053,1,Not as Expected,118.61
R000176,O002841,2026-06-09,P0015,3,Damaged,1858.6
R000177,O002857,2026-04-18,P0053,1,Changed Mind,121.19
R000178,O002858,2026-06-05,P0039,1,Changed Mind,1343.21
R000179,O002860,2026-04-21,P0046,1,Defective,474.31
R000180,O002874,2026-03-28,P0043,1,Not as Expected,677.22
R000181,O002888,2026-03-17,P0047,1,Wrong Item,460.78
R000182,O002903,2026-03-07,P0051,1,Damaged,80.32
R000183,O002932,2026-06-16,P0007,3,Wrong Item,3189.22
R000184,O002949,2026-04-22,P0037,1,Damaged,980.22
R000185,O002956,2026-04-01,P0045,1,Changed Mind,606.9
R000186,O002982,2026-06-08,P0068,1,Not as Expected,442.14
R000187,O003026,2026-03-12,P0001,3,Defective,3518.02
R000188,O003028,2026-06-20,P0063,2,Defective,709.51
R000189,O003032,2026-05-14,P0067,1,Not as Expected,611.95
R000190,O003033,2026-04-19,P0030,1,Changed Mind,655.12
R000191,O003045,2026-01-25,P0032,2,Damaged,1497.88
R000192,O003071,2026-03-18,P0013,2,Damaged,993.54
R000193,O003085,2026-06-24,P0053,3,Defective,333.73
R000194,O003088,2026-05-04,P0014,2,Defective,2196.23
R000195,O003118,2026-04-22,P0010,1,Not as Expected,1228.34
R000196,O003149,2026-03-15,P0011,2,Not as Expected,2441.24
R000197,O003163,2026-03-23,P0002,2,Not as Expected,3030.57
R000198,O003192,2026-05-24,P0060,1,Defective,207.19
R000199,O003204,2026-06-15,P0031,3,Not as Expected,6165.67
R000200,O003225,2026-02-18,P0008,1,Defective,1115.08
R000201,O003232,2026-05-04,P0068,2,Changed Mind,927.23
R000202,O003249,2026-02-05,P0056,2,Not as Expected,640.37
R000203,O003254,2026-04-15,P0024,2,Changed Mind,3479.23
R000204,O003256,2026-06-22,P0062,3,Defective,783.16
R000205,O003258,2026-04-10,P0044,1,Defective,606.44
R000206,O003261,2026-03-10,P0064,1,Not as Expected,134.73
R000207,O003280,2026-07-07,P0038,3,Damaged,4660.95
R000208,O003284,2026-06-24,P0057,2,Changed Mind,934.84
R000209,O003295,2026-06-03,P0010,2,Wrong Item,2383.43
R000210,O003356,2026-04-16,P0025,1,Wrong Item,1526.82
R000211,O003364,2026-06-21,P0069,2,Defective,713.45
R000212,O003365,2026-04-29,P0002,1,Defective,1458.76
R000213,O003376,2026-04-24,P0001,1,Wrong Item,1136.75
R000214,O003386,2026-04-08,P0057,3,Changed Mind,1350.72
R000215,O003402,2026-03-17,P0062,1,Not as Expected,259.9
R000216,O003405,2026-05-09,P0028,3,Defective,1788.41
R000217,O003408,2026-02-18,P0014,2,Wrong Item,2357.18
R000218,O003433,2026-03-22,P0012,1,Wrong Item,963.51
R000219,O003454,2026-01-25,P0060,2,Changed Mind,461.42
R000220,O003457,2026-02-12,P0027,2,Defective,2265.72
R000221,O003473,2026-06-17,P0047,3,Not as Expected,1440.05
R000222,O003482,2026-06-17,P0033,3,Damaged,4891.62
R000223,O003499,2026-04-21,P0053,1,Defective,120.18
R000224,O003503,2026-03-31,P0058,2,Not as Expected,402.62
R000225,O003521,2026-03-07,P0014,2,Changed Mind,2351.59
R000226,O003527,2026-03-10,P0018,1,Changed Mind,1062.18
R000227,O003531,2026-04-10,P0054,1,Changed Mind,470.87
R000228,O003541,2026-06-27,P0012,2,Defective,1732.37
R000229,O003546,2026-05-28,P0066,2,Changed Mind,870.52
R000230,O003551,2026-02-09,P0017,2,Defective,1232.77
R000231,O003559,2026-04-09,P0020,1,Damaged,1266.67
R000232,O003563,2026-02-02,P0067,3,Defective,1781.38
R000233,O003635,2026-03-10,P0049,3,Changed Mind,2363.17
R000234,O003661,2026-02-10,P0074,1,Not as Expected,294.96
R000235,O003667,2026-07-06,P0017,2,Changed Mind,1172.64
R000236,O003669,2026-06-11,P0018,1,Damaged,951.42
R000237,O003688,2026-05-30,P0065,1,Wrong Item,300.09
R000238,O003694,2026-01-11,P0005,1,Not as Expected,1713.48
R000239,O003703,2026-03-29,P0018,2,Not as Expected,2010.73
R000240,O003717,2026-07-01,P0029,2,Not as Expected,2948.57
R000241,O003718,2026-06-01,P0028,1,Defective,532.73
R000242,O003752,2026-04-30,P0065,1,Not as Expected,299.73
R000243,O003773,2026-05-11,P0024,2,Defective,3502.04
R000244,O003824,2026-02-18,P0079,1,Defective,825.14
R000245,O003849,2026-06-02,P0018,1,Defective,906.62
R000246,O003861,2026-01-14,P0033,1,Changed Mind,1670.42
R000247,O003874,2026-04-09,P0070,1,Changed Mind,126.08
R000248,O003876,2026-02-07,P0080,1,Defective,384.39
R000249,O003877,2026-06-11,P0070,1,Not as Expected,123.9
R000250,O003891,2026-07-12,P0064,2,Not as Expected,244.39
R000251,O003899,2026-04-15,P0016,1,Changed Mind,538.93
R000252,O003900,2026-03-14,P0057,1,Defective,443.43
R000253,O003915,2026-06-30,P0020,2,Not as Expected,2466.31
R000254,O003952,2026-04-07,P0007,3,Damaged,3369.05
R000255,O003957,2026-02-02,P0073,2,Defective,1238.81
R000256,O003961,2026-06-14,P0070,2,Defective,252.27
R000257,O003973,2026-07-10,P0050,5,Wrong Item,5150.37
R000258,O003989,2026-03-05,P0070,3,Not as Expected,386.72
R000259,O004022,2026-03-21,P0054,1,Changed Mind,446.13
R000260,O004035,2026-06-25,P0011,5,Damaged,5991.01
R000261,O004042,2026-06-12,P0065,1,Changed Mind,302.54
R000262,O004051,2026-06-17,P0063,2,Not as Expected,729.46
R000263,O004052,2026-03-11,P0025,2,Not as Expected,2904.41
R000264,O004053,2026-06-28,P0074,2,Damaged,621.24
R000265,O004058,2026-02-11,P0073,3,Defective,1742.24
R000266,O004097,2026-03-31,P0008,1,Not as Expected,1116.48
R000267,O004106,2026-06-18,P0007,1,Not as Expected,1062.86
R000268,O004127,2026-06-02,P0067,1,Defective,639.27
R000269,O004145,2026-06-11,P0063,2,Changed Mind,754.96
R000270,O004211,2026-04-30,P0012,3,Not as Expected,3073.06
R000271,O004212,2026-04-09,P0013,1,Changed Mind,478.8
R000272,O004231,2026-04-10,P0001,1,Not as Expected,1172.66
R000273,O004241,2026-06-05,P0051,3,Not as Expected,250.28
R000274,O004288,2026-01-14,P0006,1,Defective,857.85
R000275,O004298,2026-06-02,P0070,1,Defective,132.64
R000276,O004348,2026-05-14,P0012,1,Not as Expected,946.96
R000277,O004365,2026-05-11,P0032,2,Defective,1473.45
R000278,O004427,2026-07-13,P0054,3,Defective,1297.9
R000279,O004453,2026-01-14,P0026,2,Not as Expected,3348.81
R000280,O004494,2026-01-21,P0011,2,Not as Expected,2539.76
R000281,O004517,2026-02-19,P0033,2,Wrong Item,3453.77
R000282,O004529,2026-05-20,P0016,1,Wrong Item,570.79
R000283,O004542,2026-07-08,P0008,2,Not as Expected,1923.07
R000284,O004561,2026-04-25,P0020,3,Wrong Item,3762.68
R000285,O004565,2026-05-19,P0060,2,Changed Mind,448.18
R000286,O004633,2026-04-30,P0070,1,Defective,130.26
R000287,O004647,2026-06-09,P0061,2,Defective,747.77
R000288,O004657,2026-05-04,P0040,2,Damaged,4250.38
R000289,O004661,2026-05-05,P0027,1,Not as Expected,1188.6
R000290,O004666,2026-02-27,P0065,2,Wrong Item,584.31
R000291,O004704,2026-05-31,P0077,1,Not as Expected,386.73
R000292,O004718,2026-01-14,P0080,1,Changed Mind,371.28
R000293,O004719,2026-04-05,P0005,2,Changed Mind,3235.96
R000294,O004721,2026-01-22,P0024,3,Defective,5283.31
R000295,O004734,2026-05-19,P0012,1,Defective,986.12
R000296,O004758,2026-02-16,P0016,2,Defective,1075.71
R000297,O004759,2026-07-07,P0067,3,Not as Expected,1856.18
R000298,O004764,2026-02-22,P0021,3,Not as Expected,3566.16
R000299,O004774,2026-03-25,P0018,1,Not as Expected,1006.42
R000300,O004778,2026-04-29,P0076,1,Wrong Item,1073.41
R000301,O004794,2026-05-08,P0066,3,Defective,1420.17
R000302,O004823,2026-03-26,P0066,1,Wrong Item,465.56
R000303,O004829,2026-03-07,P0017,2,Wrong Item,1263.61
R000304,O004850,2026-02-21,P0076,1,Not as Expected,1045.85
R000305,O004863,2026-02-20,P0013,1,Damaged,495.13
R000306,O004864,2026-04-16,P0075,1,Wrong Item,773.14
R000307,O004892,2026-06-10,P0030,3,Damaged,1907.86
R000308,O004912,2026-02-07,P0047,1,Damaged,451.51
R000309,O004913,2026-03-23,P0070,1,Not as Expected,125.61
R000310,O004940,2026-06-03,P0068,2,Changed Mind,927.52
R000311,O004965,2026-05-14,P0024,2,Not as Expected,3584.11
R000312,O005000,2026-03-03,P0016,1,Damaged,548.05
R000313,O005010,2026-06-04,P0061,1,Defective,368.4
R000314,O005011,2026-04-22,P0008,2,Changed Mind,2102.64
R000315,O005027,2026-02-21,P0039,1,Not as Expected,1360.7
R000316,O005063,2026-04-03,P0010,1,Damaged,1224.7
R000317,O005074,2026-05-21,P0057,1,Damaged,444.05
R000318,O005087,2026-02-19,P0058,2,Defective,407.09
R000319,O005098,2026-03-04,P0029,1,Wrong Item,1554.61
R000320,O005102,2026-06-09,P0070,1,Defective,122.66
R000321,O005134,2026-02-16,P0034,2,Defective,2699.12
R000322,O005163,2026-06-15,P0069,2,Defective,734.9
R000323,O005177,2026-01-21,P0057,1,Not as Expected,452.65
R000324,O005182,2026-03-01,P0055,1,Not as Expected,177.77
R000325,O005195,2026-04-11,P0019,2,Wrong Item,1255.16
R000326,O005213,2026-04-01,P0069,1,Wrong Item,387.04
R000327,O005219,2026-06-11,P0047,2,Not as Expected,952.83
R000328,O005225,2026-06-16,P0022,2,Defective,3469.37
R000329,O005226,2026-05-08,P0070,1,Changed Mind,126.33
R000330,O005270,2026-03-09,P0016,1,Not as Expected,562.18
R000331,O005314,2026-03-05,P0007,1,Defective,1050.91
R000332,O005353,2026-05-04,P0021,1,Defective,1122.07
R000333,O005357,2026-04-14,P0079,1,Defective,889.1
R000334,O005389,2026-02-26,P0059,2,Defective,408.9
R000335,O005404,2026-06-01,P0020,1,Not as Expected,1167.76
R000336,O005413,2026-04-12,P0054,1,Damaged,470.34
R000337,O005432,2026-02-11,P0048,1,Changed Mind,717.31
R000338,O005449,2026-05-11,P0034,1,Wrong Item,1306.8
R000339,O005484,2026-05-17,P0062,2,Changed Mind,513.31
R000340,O005493,2026-04-22,P0060,2,Wrong Item,459.66
R000341,O005514,2026-03-21,P0009,3,Changed Mind,2556.51
R000342,O005541,2026-06-04,P0051,1,Damaged,81.3
R000343,O005569,2026-07-04,P0067,5,Defective,3122.45
R000344,O005582,2026-04-06,P0014,2,Not as Expected,2364.72
R000345,O005590,2026-06-11,P0063,1,Defective,375.06
R000346,O005641,2026-06-26,P0020,5,Defective,5980.83
R000347,O005646,2026-06-11,P0063,3,Wrong Item,1143.82
R000348,O005664,2026-02-12,P0008,1,Defective,1062.22
R000349,O005671,2026-06-14,P0046,5,Defective,2406.84
R000350,O005674,2026-03-09,P0061,1,Damaged,357.2
R000351,O005699,2026-03-07,P0029,1,Not as Expected,1666.5
R000352,O005713,2026-06-16,P0070,2,Not as Expected,258.8
R000353,O005722,2026-02-21,P0046,1,Changed Mind,456.88
R000354,O005744,2026-03-15,P0033,1,Changed Mind,1644.28
R000355,O005758,2026-01-14,P0070,1,Damaged,122.29
R000356,O005773,2026-02-24,P0030,1,Not as Expected,644.61
R000357,O005790,2026-06-13,P0037,5,Not as Expected,4980.51
R000358,O005858,2026-06-10,P0023,1,Defective,953.86
R000359,O005872,2026-06-17,P0027,3,Wrong Item,3156.01
R000360,O005909,2026-05-02,P0054,2,Defective,922.72
R000361,O005924,2026-04-20,P0060,3,Defective,622.76
R000362,O005944,2026-06-12,P0051,1,Wrong Item,79.29
R000363,O005963,2026-06-30,P0030,5,Damaged,3176.51
R000364,O006008,2026-02-16,P0012,1,Changed Mind,933.8
R000365,O006021,2026-06-18,P0040,1,Defective,2171.92
R000366,O006090,2026-06-08,P0061,2,Not as Expected,713.61
R000367,O006096,2026-04-25,P0054,1,Not as Expected,471.39
R000368,O006100,2026-03-12,P0021,1,Wrong Item,1166.79
R000369,O006124,2026-04-05,P0010,1,Wrong Item,1193.5
R000370,O006133,2026-06-09,P0069,1,Not as Expected,383.8
R000371,O006135,2026-02-01,P0052,1,Defective,159.04
R000372,O006136,2026-03-20,P0014,1,Defective,1103.9
R000373,O006161,2026-03-13,P0068,2,Not as Expected,875.25
R000374,O006175,2026-06-18,P0013,2,Wrong Item,923.97
R000375,O006196,2026-01-22,P0064,1,Defective,135.73
R000376,O006197,2026-06-17,P0065,2,Wrong Item,604.03
R000377,O006199,2026-05-08,P0052,2,Damaged,328.33
R000378,O006224,2026-03-06,P0056,3,Defective,1005.84
R000379,O006237,2026-05-30,P0047,1,Not as Expected,473.95
R000380,O006263,2026-05-28,P0046,1,Not as Expected,479.33
R000381,O006322,2026-03-02,P0069,1,Defective,381.76
R000382,O006358,2026-02-24,P0066,3,Wrong Item,1453.58
R000383,O006380,2026-05-24,P0070,1,Wrong Item,120.29
R000384,O006395,2026-01-10,P0019,1,Damaged,653.99
R000385,O006452,2026-06-26,P0029,5,Wrong Item,7811.04
R000386,O006457,2026-01-19,P0034,1,Not as Expected,1332.77
R000387,O006463,2026-01-18,P0077,1,Changed Mind,373.35
R000388,O006484,2026-06-11,P0064,1,Defective,124.11
R000389,O006560,2026-05-26,P0062,1,Changed Mind,259.54
R000390,O006572,2026-06-23,P0029,2,Not as Expected,3090.03
R000391,O006592,2026-05-24,P0023,1,Changed Mind,934.9
R000392,O006594,2026-05-17,P0059,2,Defective,420.83
R000393,O006613,2026-05-26,P0013,3,Changed Mind,1404.07
R000394,O006637,2026-06-19,P0014,5,Changed Mind,5356.1
R000395,O006660,2026-06-26,P0070,2,Changed Mind,253.83
R000396,O006678,2026-07-18,P0056,2,Defective,663.85
R000397,O006686,2026-06-11,P0019,2,Changed Mind,1152.59
R000398,O006723,2026-07-09,P0030,2,Defective,1304.69
R000399,O006727,2026-05-20,P0025,2,Changed Mind,2899.35
R000400,O006734,2026-02-25,P0018,1,Defective,992.08
R000401,O006736,2026-04-05,P0056,1,Wrong Item,323.35
R000402,O006764,2026-02-08,P0015,1,Changed Mind,625.88
R000403,O006779,2026-06-11,P0008,1,Wrong Item,997.22
R000404,O006804,2026-07-02,P0035,3,Changed Mind,4768.5
R000405,O006805,2026-03-14,P0051,2,Changed Mind,155.88
R000406,O006832,2026-07-05,P0066,2,Defective,878.9
R000407,O006850,2026-03-06,P0066,1,Not as Expected,451.79
R000408,O006855,2026-05-12,P0035,1,Changed Mind,1608.56
R000409,O006857,2026-05-31,P0066,2,Defective,874.91
R000410,O006889,2026-05-28,P0064,2,Wrong Item,269.46
R000411,O006891,2026-02-04,P0052,2,Changed Mind,324.17
R000412,O006903,2026-07-11,P0061,3,Changed Mind,1059.86
R000413,O006905,2026-01-26,P0009,1,Damaged,919.54
R000414,O006916,2026-02-20,P0035,1,Defective,1514.99
R000415,O006945,2026-07-01,P0025,2,Changed Mind,2687.76
R000416,O006949,2026-07-07,P0067,3,Wrong Item,1746.45
R000417,O006981,2026-05-14,P0046,2,Wrong Item,967.85
R000418,O006997,2026-05-25,P0021,1,Not as Expected,1167.81
R000419,O007000,2026-02-14,P0060,1,Changed Mind,223.83
R000420,O007011,2026-07-18,P0063,3,Not as Expected,1031.52
R000421,O007032,2026-06-23,P0030,1,Defective,597.55
R000422,O007056,2026-07-05,P0057,2,Defective,906.85
R000423,O007074,2026-01-31,P0072,1,Not as Expected,848.34
R000424,O007077,2026-02-21,P0016,1,Defective,553.26
R000425,O007078,2026-07-06,P0055,2,Changed Mind,330.92
R000426,O007091,2026-06-11,P0075,1,Wrong Item,759.25
R000427,O007096,2026-01-22,P0033,2,Damaged,3342.24
R000428,O007097,2026-01-23,P0066,1,Not as Expected,441.4
R000429,O007113,2026-04-25,P0051,2,Wrong Item,169.49
R000430,O007122,2026-06-15,P0062,5,Not as Expected,1234.48
R000431,O007152,2026-01-14,P0016,1,Damaged,569.31
R000432,O007172,2026-04-14,P0055,1,Defective,170.59
R000433,O007201,2026-05-27,P0062,1,Defective,270.71
R000434,O007206,2026-01-13,P0010,1,Defective,1251.02
R000435,O007219,2026-01-17,P0010,1,Defective,1224.77
R000436,O007229,2026-02-20,P0051,2,Wrong Item,169.08
R000437,O007245,2026-04-10,P0013,1,Wrong Item,481.28
R000438,O007256,2026-07-07,P0011,2,Changed Mind,2493.98
R000439,O007265,2026-01-09,P0019,1,Defective,637.69
R000440,O007297,2026-04-30,P0025,1,Wrong Item,1470.93
R000441,O007318,2026-03-12,P0017,1,Damaged,597.89
R000442,O007380,2026-04-07,P0030,2,Not as Expected,1354.57
R000443,O007399,2026-03-03,P0004,1,Not as Expected,1064.26
R000444,O007434,2026-04-17,P0021,3,Changed Mind,3422.11
